cell_id,global_x,global_y,region_name,total_counts,auto_label_v5,auto_confidence_v5,Slc17a7,Snap25,Gad1,Gad2,Gfap,Aqp4,C1qa,Tyrobp,Kdr,Pecam1,Mbp,Olig1
REF_001,-0.1300868197820824,3.5375594695326957,CA1,59,CA_Glut,high,22,21,3,1,2,4,0,1,0,2,2,1
REF_002,-0.3891477026803561,5.028059909147279,CA1,72,CA_Glut,high,25,30,3,3,1,1,0,3,3,1,1,1
REF_003,2.809851820482177,2.0796305481355937,CA1,67,CA_Glut,high,28,23,2,3,1,0,3,1,1,0,3,2
REF_004,-2.7776141108115766,-1.3067410400090087,CA1,76,CA_Glut,medium,23,34,2,3,1,1,2,1,3,3,2,1
REF_005,-1.2074704181356393,-0.6057745926851681,CA1,73,CA_Glut,high,31,31,0,0,2,2,1,3,0,0,3,0
REF_006,-6.053977629088427,-0.6666194035212868,CA1,63,CA_Glut,high,19,29,1,1,1,2,3,1,3,1,0,2
REF_007,0.18847962452237169,-4.690182829619918,CA1,59,CA_Glut,high,21,26,3,0,1,2,1,1,1,2,1,0
REF_008,-2.220991719054589,-1.5577212195015389,CA1,53,CA_Glut,medium,21,19,0,0,0,2,2,2,1,4,0,2
REF_009,-3.9744653893588455,1.843677662853518,CA1,64,CA_Glut,high,24,23,3,1,0,2,2,3,2,3,0,1
REF_010,-1.19509434671379,-0.16069576641177494,CA1,60,CA_Glut,high,25,24,1,1,2,3,1,0,0,1,0,2
REF_011,0.8656994045104927,4.006841553816479,CA1,73,CA_Glut,high,25,33,0,0,2,1,3,1,0,1,6,1
REF_012,-3.908581748538759,3.4137506108584756,CA1,70,CA_Glut,medium,22,30,3,1,2,1,2,3,3,2,0,1
REF_013,42.632868156810794,0.8442936361714111,CA1,94,GABA_Neuron,high,3,22,24,31,2,3,0,2,3,1,1,2
REF_014,32.030264737015,4.765399392311431,CA1,80,GABA_Neuron,high,0,22,23,23,2,1,2,0,3,1,2,1
REF_015,28.341593172824542,6.8418133525804805,CA1,76,GABA_Neuron,high,1,27,20,22,1,1,0,2,0,0,2,0
