gene,C1_1,C1_2,C1_3,C1_4,C1_5,C1_6,C1_7,C1_8,C1_9,C1_10,C1_11,C1_12,C1_13,C1_14,C1_15,C1_16,C1_17,C1_18,C1_19,C1_20,C1_21,C1_22,C1_23,C1_24,C1_25,C1_26,C1_27,C1_28,C1_29,C1_30,C1_31,C1_32,C1_33,C1_34,C1_35,C1_36
Slc17a7,26,18,26,15,21,23,0,1,2,0,1,2,2,5,2,2,3,1,2,1,2,1,0,1,1,0,0,3,2,2,2,2,3,0,0,0
Snap25,22,22,30,27,26,22,29,30,22,28,30,24,0,0,2,2,1,2,0,1,2,0,3,1,2,1,4,1,1,0,1,0,0,1,2,0
Gad1,2,1,2,3,1,1,19,24,20,21,18,29,3,1,0,0,2,2,2,0,3,2,1,5,2,1,1,2,0,0,3,1,4,3,2,2
Gad2,0,1,1,1,2,3,24,19,28,20,26,31,0,1,4,3,4,1,3,2,1,2,1,1,3,1,1,2,0,3,1,0,4,3,0,1
Gfap,0,0,0,3,3,2,0,1,1,1,0,0,29,18,30,23,27,26,1,1,0,3,0,2,3,2,1,1,1,1,1,2,2,2,0,0
Aqp4,1,2,1,1,2,2,1,0,1,4,1,3,20,24,15,19,18,18,1,1,2,1,1,0,0,2,0,0,4,0,0,0,2,2,2,1
C1qa,1,4,1,1,1,2,1,2,5,3,1,2,2,1,1,3,0,0,19,25,21,20,31,23,0,0,2,2,0,1,1,2,3,0,3,0
Tyrobp,0,0,2,0,1,2,2,3,1,1,2,0,1,1,3,0,1,2,23,25,20,21,25,27,1,2,2,2,1,1,3,1,3,2,1,1
Kdr,1,2,2,2,1,0,3,2,1,0,1,3,2,1,0,2,1,2,2,0,1,4,0,1,22,26,30,33,22,17,0,1,0,0,1,0
Pecam1,0,1,0,5,2,1,4,1,2,1,4,2,0,1,1,1,3,1,1,1,2,1,0,1,24,25,26,17,19,21,1,2,1,0,1,1
Mbp,2,1,1,2,0,1,2,1,2,1,0,1,3,3,0,2,0,1,0,0,1,2,1,1,1,0,0,2,3,1,19,24,26,15,17,32
Olig1,0,1,1,1,1,1,0,2,2,3,2,3,3,1,0,2,3,1,1,2,1,1,2,2,1,1,1,1,0,1,25,27,24,21,22,20
