cell,global_x,global_y,Z,fov,region_name,point_id
C1_1,-3.271315650629515,2.264308223049804,9,C1,CA1,P1_0
C1_1,-3.8653083699830395,5.563560509723377,11,C1,CA1,P1_1
C1_1,-3.3755132635879477,5.668936750799398,12,C1,CA1,P1_2
C1_1,-1.946711347031389,1.841661941259169,11,C1,CA1,P1_3
C1_1,-4.283193818483303,3.4727991829178846,10,C1,CA1,P1_4
C1_1,-4.20296859309534,4.702129251877938,12,C1,CA1,P1_5
C1_1,-3.6309718669980775,3.438619999307419,11,C1,CA1,P1_6
C1_1,-1.9602350312724974,1.123778131812759,11,C1,CA1,P1_7
C1_2,-0.5681053942588563,-3.716612315877194,8,C1,CA1,P2_0
C1_2,-0.02269082168512193,-2.9982897560217676,9,C1,CA1,P2_1
C1_2,0.5011614569895408,-4.820127543596169,10,C1,CA1,P2_2
C1_2,3.023403413795789,-4.406143278923917,11,C1,CA1,P2_3
C1_2,2.163874809826898,-1.94290076744999,9,C1,CA1,P2_4
C1_2,-0.2226465054686637,-1.1777831208940142,11,C1,CA1,P2_5
C1_2,0.9041264617403524,-3.9007785265905155,11,C1,CA1,P2_6
C1_2,1.486395359529217,-3.5348787993631534,10,C1,CA1,P2_7
C1_3,-2.3057739266714385,2.6338591768576207,11,C1,CA1,P3_0
C1_3,2.0648840015200034,3.6703079150838827,8,C1,CA1,P3_1
C1_3,-2.153545132647106,1.4938425357014251,8,C1,CA1,P3_2
C1_3,-3.125377965642832,1.8135702333201276,8,C1,CA1,P3_3
C1_3,-2.0374003633443465,3.7508744141406662,12,C1,CA1,P3_4
C1_3,-2.100182760153817,1.0816045809358774,9,C1,CA1,P3_5
C1_3,-2.5634940818596137,2.6105363269781745,8,C1,CA1,P3_6
C1_3,0.20957413037404038,1.9352068542295693,12,C1,CA1,P3_7
C1_4,5.184816025727344,11.029777018150135,10,C1,CA1,P4_0
C1_4,5.610944731468659,10.156265086111022,11,C1,CA1,P4_1
C1_4,4.198658111679089,9.857167403554163,12,C1,CA1,P4_2
C1_4,4.983822259434155,10.45401199718502,8,C1,CA1,P4_3
C1_4,4.143810711529223,9.083414449027089,10,C1,CA1,P4_4
C1_4,2.7186179443622662,9.230494601482189,8,C1,CA1,P4_5
C1_4,6.617620271696248,6.723705352214619,12,C1,CA1,P4_6
C1_4,5.579742423605726,7.99195713718557,10,C1,CA1,P4_7
C1_5,-2.060739490174167,7.143930978936626,11,C1,CA1,P5_0
C1_5,-2.886356979167748,4.347740078219826,10,C1,CA1,P5_1
C1_5,-2.7196495869791666,4.56761945105339,9,C1,CA1,P5_2
C1_5,-2.0533610257198625,3.5967913441151476,10,C1,CA1,P5_3
C1_5,-4.0112504354301715,6.241642987921444,10,C1,CA1,P5_4
C1_5,-3.464204805240076,6.024508098197489,12,C1,CA1,P5_5
C1_5,-3.6512067350336093,4.26517409105082,12,C1,CA1,P5_6
C1_5,-5.540100802309867,5.638013091939509,11,C1,CA1,P5_7
C1_6,-5.269686785648817,2.924075413078585,10,C1,CA1,P6_0
C1_6,-4.490643611737048,0.7000575143869554,10,C1,CA1,P6_1
C1_6,-5.573381542486635,2.2295688614038087,12,C1,CA1,P6_2
C1_6,-5.868641657583455,3.0756199244758244,12,C1,CA1,P6_3
C1_6,-5.531627871784193,1.47746566570608,12,C1,CA1,P6_4
C1_6,-2.7930006536038916,1.9576006289732326,12,C1,CA1,P6_5
C1_6,-7.236511698110146,3.553356325123436,10,C1,CA1,P6_6
C1_6,-4.655147201398422,1.8794053988131416,9,C1,CA1,P6_7
C1_7,29.87540718239564,12.56684326848761,9,C1,CA1,P7_0
C1_7,31.074086039347776,12.162130970211777,8,C1,CA1,P7_1
C1_7,30.083145234245883,12.006041211400582,12,C1,CA1,P7_2
C1_7,28.08821955308913,12.036054194813257,9,C1,CA1,P7_3
C1_7,31.295324334024016,10.694179846632538,10,C1,CA1,P7_4
C1_7,33.36404566169498,11.511101185762637,9,C1,CA1,P7_5
C1_7,33.268140760812315,12.599821639149484,9,C1,CA1,P7_6
C1_7,31.344511181347162,12.718912201341293,10,C1,CA1,P7_7
C1_8,38.70024480000193,8.54689895965231,10,C1,CA1,P8_0
C1_8,40.787054181051715,8.621212229458381,12,C1,CA1,P8_1
C1_8,41.3920932751977,7.3843397922183875,12,C1,CA1,P8_2
C1_8,38.40897761911785,9.03021527568807,12,C1,CA1,P8_3
C1_8,40.92346927268983,7.532949011957069,9,C1,CA1,P8_4
C1_8,40.108800863224836,7.4402668469780275,10,C1,CA1,P8_5
C1_8,39.666821898187145,6.571683882680365,9,C1,CA1,P8_6
