cell_id,true_label,pred_label,pred_id,pred_confidence
REF_001,Excitatory_Neuron,Excitatory_Neuron,1,0.9715766310691833
REF_002,Excitatory_Neuron,Excitatory_Neuron,1,0.9906045794487
REF_003,Excitatory_Neuron,Excitatory_Neuron,1,0.9505247473716736
REF_004,Excitatory_Neuron,Excitatory_Neuron,1,0.9927256107330322
REF_005,Excitatory_Neuron,Excitatory_Neuron,1,0.9816216826438904
REF_006,Excitatory_Neuron,Excitatory_Neuron,1,0.9902689456939697
REF_007,Excitatory_Neuron,Excitatory_Neuron,1,0.9910922646522522
REF_008,Excitatory_Neuron,Excitatory_Neuron,1,0.9967265129089355
REF_009,Excitatory_Neuron,Excitatory_Neuron,1,0.9442192316055298
REF_010,Excitatory_Neuron,Excitatory_Neuron,1,0.9877819418907166
REF_011,Excitatory_Neuron,Excitatory_Neuron,1,0.937409520149231
REF_012,Excitatory_Neuron,Excitatory_Neuron,1,0.9879794120788574
REF_013,GABA_Neuron,GABA_Neuron,2,0.9958919286727905
REF_014,GABA_Neuron,GABA_Neuron,2,0.9873641133308411
REF_015,GABA_Neuron,GABA_Neuron,2,0.9934552311897278
REF_016,GABA_Neuron,GABA_Neuron,2,0.9885814785957336
REF_017,GABA_Neuron,GABA_Neuron,2,0.9973050355911255
REF_018,GABA_Neuron,GABA_Neuron,2,0.9946751594543457
REF_019,GABA_Neuron,GABA_Neuron,2,0.9950751662254333
REF_020,GABA_Neuron,GABA_Neuron,2,0.9973701238632202
REF_021,GABA_Neuron,GABA_Neuron,2,0.9952620267868042
REF_022,GABA_Neuron,GABA_Neuron,2,0.9966095685958862
REF_023,GABA_Neuron,GABA_Neuron,2,0.995863676071167
REF_024,GABA_Neuron,GABA_Neuron,2,0.9909568428993225
REF_025,Astro-Epen,Astro-Epen,0,0.979546070098877
REF_026,Astro-Epen,Astro-Epen,0,0.9955675005912781
REF_027,Astro-Epen,Astro-Epen,0,0.9822079539299011
REF_028,Astro-Epen,Astro-Epen,0,0.9859362840652466
REF_029,Astro-Epen,Astro-Epen,0,0.9586725234985352
REF_030,Astro-Epen,Astro-Epen,0,0.9893202781677246
REF_031,Astro-Epen,Astro-Epen,0,0.9943711161613464
REF_032,Astro-Epen,Astro-Epen,0,0.9803972244262695
REF_033,Astro-Epen,Astro-Epen,0,0.9935926795005798
REF_034,Astro-Epen,Astro-Epen,0,0.9856654405593872
REF_035,Astro-Epen,Astro-Epen,0,0.9932803511619568
REF_036,Astro-Epen,Astro-Epen,0,0.9898696541786194
REF_037,Immune,Immune,3,0.9745070338249207
REF_038,Immune,Immune,3,0.9753010272979736
REF_039,Immune,Immune,3,0.9563580751419067
REF_040,Immune,Immune,3,0.9927411079406738
REF_041,Immune,Immune,3,0.9952526092529297
REF_042,Immune,Immune,3,0.9826998710632324
REF_043,Immune,Immune,3,0.9826489686965942
REF_044,Immune,Immune,3,0.9706475734710693
REF_045,Immune,Immune,3,0.9895337224006653
REF_046,Immune,Immune,3,0.9829512238502502
REF_047,Immune,Immune,3,0.9824659824371338
REF_048,Immune,Immune,3,0.9922575950622559
REF_049,Vascular,Vascular,5,0.9866017699241638
REF_050,Vascular,Vascular,5,0.9788820743560791
REF_051,Vascular,Vascular,5,0.9841151237487793
REF_052,Vascular,Vascular,5,0.9880526065826416
REF_053,Vascular,Vascular,5,0.9805903434753418
REF_054,Vascular,Vascular,5,0.972944438457489
REF_055,Vascular,Vascular,5,0.9917993545532227
REF_056,Vascular,Vascular,5,0.9749906659126282
REF_057,Vascular,Vascular,5,0.9942337870597839
REF_058,Vascular,Vascular,5,0.9890047907829285
REF_059,Vascular,Vascular,5,0.9904278516769409
REF_060,Vascular,Vascular,5,0.9959108829498291
REF_061,OPC-Oligo,OPC-Oligo,4,0.989738404750824
REF_062,OPC-Oligo,OPC-Oligo,4,0.9832438826560974
REF_063,OPC-Oligo,OPC-Oligo,4,0.9841912984848022
REF_064,OPC-Oligo,OPC-Oligo,4,0.9732553958892822
REF_065,OPC-Oligo,OPC-Oligo,4,0.9932041168212891
REF_066,OPC-Oligo,OPC-Oligo,4,0.9853432178497314
REF_067,OPC-Oligo,OPC-Oligo,4,0.9896955490112305
REF_068,OPC-Oligo,OPC-Oligo,4,0.9881300926208496
REF_069,OPC-Oligo,OPC-Oligo,4,0.985869288444519
REF_070,OPC-Oligo,OPC-Oligo,4,0.9736522436141968
REF_071,OPC-Oligo,OPC-Oligo,4,0.9929083585739136
REF_072,OPC-Oligo,OPC-Oligo,4,0.9891642928123474
