epoch,loss,reference_training_accuracy
1,1.8337277173995972,0.3888888955116272
2,1.6419275999069214,0.5416666865348816
3,1.473162055015564,0.6527777910232544
4,1.289279580116272,0.9444444179534912
5,1.121084213256836,0.9583333134651184
6,0.9638239741325378,0.9861111044883728
7,0.8092327117919922,1.0
8,0.657011866569519,1.0
9,0.5145755410194397,1.0
10,0.3872216045856476,1.0
11,0.2766449749469757,1.0
12,0.18595881760120392,1.0
13,0.11955303698778152,1.0
14,0.07652226090431213,1.0
15,0.0505063459277153,1.0
16,0.03507710620760918,1.0
17,0.025966987013816833,1.0
18,0.020673809573054314,1.0
19,0.017688119783997536,1.0
20,0.016086101531982422,1.0
