"analysis","gene","region"
"expression","ACOD1","CA3"
"expression","APP","DG-CA1"
"expression","BAIAP2L1","SLM"
"expression","CD9","DG"
"expression","CSF1R","SLM"
"expression","DLG4","DG"
"expression","GNS","SLM"
"expression","GRIN3A","SLM"
"expression","HIF-1Α","SLM"
"expression","ITM2B","SLM"
"expression","LAPTM5","SLM"
"expression","MPEG1","SLM"
"expression","NPAS3","SLM"
"expression","NR3C2","SLM"
"expression","PAX6","SLM"
"expression","RAB3A","DG-CA1"
"expression","RERG","SLM"
"expression","REST","SLM"
"expression","STXBP5","CA3"
"expression","STXBP5","SLM"
"expression","TOMM20","SLM"
"expression","TOMM40","SLM"
"expression","UNC13A","SLM"
"expression","VSIR","SLM"
"expression","SOX2","SLM"
"expression","PLEK","SLM"
"expression","CALB1","CA3"
"expression","ITGAM","SLM"
"expression","CASP8","SLM"
"expression","PLP1","SLM"
"expression","NEUROD1","SLM"
"expression","S100A6","SLM"
"expression","ITGA6","SLM"
"expression","SYP","SLM"
"expression","RAB3A","CA3"
"expression","SLC1A3","CA3"
"expression","ACTB","SLM"
"expression","MFAP4","SLM"
"expression","CYBA","DG-CA1"
"expression","GRIN3A","CA3"
"expression","LGALS3BP","SLM"
"expression","CTSH","SLM"
"expression","CCRL2","SLM"
"expression","PSEN1","DG"
"expression","GFAP","CA3"
"expression","RAB27A","DG"
"expression","SLC1A3","SO"
"expression","SLC1A3","SLM"
"expression","TREM2","DG"
"expression","APOD","DG-CA1"
"expression","TOMM40","DG"
"expression","NPC2","DG-CA1"
"expression","TOMM40","SO"
"expression","CALB1","SLM"
"expression","NEUROD6","SLM"
"expression","CASP8","DG-CA1"
"expression","S100A6","DG-CA1"
"expression","REST","DG"
"expression","TBR1","DG-CA1"
"expression","CX3CR1","DG-CA1"
"expression","RERG","DG"
"expression","CTSA","DG-CA1"
"expression","TOMM20","DG-CA1"
"expression","STXBP1","SLM"
"expression","C4A","DG"
"expression","PTGDS","CA3"
"expression","ACOD1","SLM"
"expression","PTGDS","SLM"
"expression","CSF1R","CA1"
"expression","ITM2B","CA3"
"expression","APOE","Hilus"
"expression","ACOD1","SO"
"expression","ITGAM","Hilus"
"expression","MBP","CA3"
"expression","SNCA","Hilus"
"expression","CALB1","DG-CA1"
"expression","MFAP4","Hilus"
"expression","PSEN2","SO"
"expression","PTGDS","SO"
"expression","PSEN1","DG-CA1"
"moran","SNAP25","SO"
"moran","ITGB5","SO"
"moran","CSF1R","SO"
"moran","C4A","CA3"
"moran","MFAP4","CA1"
"moran","ACTB","CA1"
"moran","APP","CA1"
"moran","SNCA","CA1"
"moran","PSEN2","SO"
"moran","PSEN2","CA3"
"moran","DLG4","CA1"
"moran","NEUROD1","SO"
"moran","VSIR","SO"
"moran","SLC1A3","Hilus"
"moran","STXBP5","CA1"
"moran","PTGDS","CA3"
"moran","SLC1A3","DG"
"moran","SNCA","SLM"
"moran","CSF1R","DG-CA1"
"moran","RAB3A","CA1"
"moran","LAPTM5","SO"
"moran","CTSD","CA1"
"moran","VSIR","DG-CA1"
"moran","ACOD1","CA3"
"moran","FCER1G","CA1"
"moran","TMEM119","DG-CA1"
"moran","SOX2","CA3"
"moran","LAPTM5","CA1"
"moran","LGALS3BP","CA1"
"moran","CCRL2","Hilus"
"moran","PSEN1","Hilus"
"moran","SLC1A3","CA3"
"moran","PVALB","CA1"
"moran","SYP","CA1"
"moran","BSN","DG"
"moran","C1QA","CA3"
