cell_id,cell
1,H04_0
2,H04_8
3,H04_7
4,H04_5
5,H04_73
6,H04_74
7,H04_94
8,H04_108
9,H04_114
10,H04_113
11,G03_0
12,G03_7
13,G03_15
14,G03_25
15,G03_40
16,G03_18
17,G03_45
18,G03_13
19,G03_26
20,G03_29
21,G03_86
22,G03_75
23,G03_68
24,G03_73
25,G03_63
26,G03_37
27,G03_47
28,G03_71
29,G03_55
30,G03_66
31,G03_36
32,G03_56
33,G03_60
34,G03_28
35,G03_24
36,G03_21
37,G03_67
38,G03_16
39,G03_79
40,G03_1
41,G03_69
42,G03_57
43,G03_46
44,G03_54
45,G03_42
46,G03_20
47,G03_33
48,G03_23
49,G03_39
50,G03_74
51,G03_89
52,G03_9
53,G03_49
54,G03_51
55,G03_41
56,G03_31
57,G03_94
58,G03_17
59,G03_96
60,G03_59
61,G03_85
62,G03_50
63,G03_82
64,G03_5
65,G03_32
66,G03_61
67,G03_84
68,G03_95
69,G03_77
70,G03_97
71,G03_70
72,G03_88
73,G03_102
74,G03_83
75,G03_93
76,G03_87
77,G03_92
78,G03_12
79,G03_107
80,G03_108
81,G03_110
82,G03_114
83,G03_101
84,G03_105
85,G03_109
86,G03_100
87,G03_106
88,G03_130
89,G03_111
90,G03_117
91,G03_98
92,G03_129
93,G03_125
94,G03_122
95,G03_123
96,G03_128
97,G03_139
98,G03_133
99,G03_134
100,G03_131
101,G03_140
102,G03_151
103,G03_162
104,G03_145
105,G03_136
106,G03_156
107,G03_142
108,G03_154
109,G03_147
110,G03_137
111,G03_168
112,G03_175
113,G03_155
114,G03_150
115,G03_152
116,G03_161
117,G03_169
118,G03_165
119,G03_118
120,G03_177
121,G03_148
122,G03_163
123,G03_181
124,G03_167
125,G03_195
126,G03_185
127,G03_172
128,G03_164
129,G03_180
130,G03_174
131,G03_182
132,G03_178
133,G03_176
134,G03_179
135,G03_171
136,G03_194
137,G03_201
138,G03_189
139,G03_198
140,G03_173
141,G03_186
142,G03_157
143,G03_192
144,G03_196
145,G03_197
146,G03_183
147,G03_202
148,G03_200
149,G03_224
150,G03_193
151,G03_214
152,G03_229
153,G03_206
154,G03_208
155,G03_207
156,G03_212
157,G03_222
158,G03_203
159,G03_213
160,G03_232
161,G03_215
162,G03_205
163,G03_226
164,G03_249
165,G03_233
166,G03_236
167,G03_228
168,G03_223
169,G03_231
170,G03_237
171,G03_234
172,G03_245
173,G03_242
174,G03_247
175,G03_243
176,G03_251
177,G03_235
178,G03_254
179,G03_240
180,G03_252
181,G03_211
182,G03_255
183,G03_225
184,G03_238
185,I03_0
186,I03_18
187,I03_124
188,I03_115
189,I03_149
190,G02_5
191,G02_56
192,G02_37
193,G02_103
194,G02_96
195,G02_104
196,G02_62
197,G02_129
198,G02_80
199,G02_98
200,G02_22
201,G02_25
202,G02_97
203,G02_36
204,G02_130
205,G02_121
206,G02_16
207,G02_0
208,G02_76
209,G02_88
210,G02_125
211,G02_92
212,G02_81
213,G02_29
214,G02_35
215,G02_13
216,G02_50
217,G02_30
218,G02_39
219,G02_46
220,G02_9
221,G02_91
222,G02_95
223,G02_64
224,G02_12
225,G02_38
226,G02_48
227,G02_122
228,G02_53
229,G02_42
230,G02_45
231,G02_118
232,G02_23
233,G02_7
234,G02_14
235,G02_3
236,G02_8
237,G02_84
238,G02_63
239,G02_94
240,G02_55
241,G02_73
242,G02_6
243,G02_74
244,G02_69
245,G02_21
246,G02_52
247,G02_117
248,G02_85
249,G02_79
250,G02_119
251,G02_19
252,G02_65
253,G02_57
254,G02_54
255,G02_128
256,G02_32
257,G02_75
258,G02_90
259,G02_68
260,G02_58
261,G02_44
262,G02_107
263,G02_27
264,G02_1
265,G02_133
266,G02_108
267,G02_67
268,G02_136
269,G02_135
270,G02_152
271,G02_4
272,G02_140
273,G02_156
274,G02_71
275,G02_141
276,G02_145
277,G02_93
278,G02_144
279,G02_139
280,G02_167
281,G02_157
282,G02_151
283,G02_150
284,G02_146
285,G02_184
286,G02_163
287,G02_169
288,G02_197
289,G02_168
290,G02_166
291,G02_134
292,G02_162
293,G02_158
294,G02_174
295,G02_175
296,G02_181
297,G02_176
298,G02_172
299,G02_186
300,G02_183
301,G02_196
302,G02_178
303,G02_203
304,G02_179
305,G02_191
306,G02_189
307,G02_187
308,G02_199
309,G02_190
310,G02_200
311,G02_214
312,G02_236
313,G02_209
314,G02_215
315,G02_159
316,G02_239
317,G02_208
318,G02_217
319,G02_201
320,G02_218
321,G02_193
322,G02_227
