cell_id,cell
1,9G4_0
2,9G4_7
3,9G4_6
4,9G4_10
5,9G4_9
6,9G4_12
7,9G4_11
8,9G4_13
9,9G4_14
10,9G4_15
11,9G4_17
12,9G4_16
13,6C7_0
14,6C7_24
15,6C7_1
16,6C7_5
17,6C7_13
18,6C7_36
19,6C7_72
20,6C7_60
21,6C7_69
22,6C7_2
23,6C7_15
24,6C7_10
25,6C7_6
26,6C7_11
27,6C7_73
28,6C7_19
29,6C7_35
30,6C7_31
31,6C7_87
32,6C7_41
33,6C7_77
34,6C7_33
35,6C7_56
36,6C7_52
37,6C7_57
38,6C7_29
39,6C7_47
40,6C7_4
41,6C7_27
42,6C7_14
43,6C7_9
44,6C7_23
45,6C7_80
46,6C7_45
47,6C7_3
48,6C7_40
49,6C7_30
50,6C7_28
51,6C7_71
52,6C7_84
53,6C7_50
54,6C7_26
55,6C7_46
56,6C7_7
57,6C7_21
58,6C7_38
59,6C7_48
60,6C7_63
61,6C7_53
62,6C7_39
63,6C7_55
64,6C7_8
65,6C7_12
66,6C7_20
67,6C7_44
68,6C7_61
69,6C7_43
70,6C7_91
71,6C7_78
72,6C7_62
73,6C7_18
74,6C7_92
75,6C7_97
76,6C7_79
77,6C7_51
78,6C7_70
79,6C7_86
80,6C7_34
81,6C7_68
82,6C7_81
83,6C7_49
84,6C7_64
85,6C7_75
86,6C7_66
87,6C7_89
88,6C7_67
89,6C7_74
90,6C7_93
91,6C7_85
92,6C7_83
93,6C7_98
94,6C7_90
95,6C7_99
96,6C7_88
97,6C7_95
98,6C7_103
99,6C7_100
100,6C7_106
101,6C7_101
102,6C7_119
103,6C7_104
104,6C7_94
105,6C7_96
106,6C7_102
107,6C7_105
108,6C7_114
109,6C7_110
110,6C7_107
111,6C7_118
112,6C7_109
113,6C7_129
114,6C7_120
115,6C7_115
116,6C7_116
117,6C7_127
118,6C7_122
119,6C7_131
120,6C7_123
121,6C7_133
122,6C7_117
123,6C7_112
124,6C7_113
125,6C7_121
126,6C7_126
127,6C7_135
128,6C7_125
129,6C7_111
130,6C7_137
131,6C7_124
132,6C7_132
133,6C7_130
134,6C7_136
135,6C7_147
136,6C7_141
137,6C7_146
138,6C7_152
139,6C7_138
140,6C7_140
141,6C7_144
142,6C7_134
143,6C7_143
144,6C7_150
145,6C7_145
146,6C7_153
147,6C7_154
148,6C7_149
149,6C7_142
150,6C7_155
151,6C7_139
152,6C7_165
153,6C7_169
154,6C7_168
155,6C7_157
156,6C7_160
157,6C7_151
158,6C7_161
159,6C7_167
160,6C7_170
161,6C7_158
162,6C7_172
163,6C7_171
164,6C7_159
165,6C7_164
166,6C7_162
167,6C7_163
168,6C7_175
169,6C7_178
170,6C7_180
171,6C7_177
172,6C7_174
173,6C7_176
174,6C7_188
175,6C7_186
176,6C7_166
177,6C7_191
178,6C7_173
179,6C7_179
180,6C7_184
181,6C7_183
182,6C7_190
183,6C7_185
184,6C7_181
185,6C7_189
186,6C7_198
187,6C7_192
188,6C7_203
189,6C7_182
190,6C7_187
191,6C7_195
192,6C7_193
193,6C7_194
194,6C7_205
195,6C7_202
196,6C7_199
197,6C7_204
198,2F7_0
199,2F7_14
200,2F7_17
201,2F7_2
202,2F7_9
203,2F7_10
204,2F7_13
205,2F7_5
206,2F7_15
207,2F7_6
208,2F7_4
209,2F7_12
210,2F7_1
211,2F7_20
212,2F7_19
213,2F7_21
214,2F7_22
215,2F7_24
216,2F7_29
217,2F7_25
218,2F7_30
219,2F7_27
220,2F7_28
221,2F7_26
222,2F7_33
223,2F7_32
224,2F7_31
225,2F7_36
226,2F7_34
227,2F7_35
228,2F7_38
229,2F7_39
230,2F7_45
231,2F7_41
232,2F7_42
233,2F7_43
234,2F7_47
235,2F7_40
236,2F7_44
237,2F7_50
238,2F7_46
239,2F7_49
240,2F7_48
241,2F7_51
242,8G3_0
243,8G3_7
244,8G3_6
245,8G3_4
246,8G3_8
247,8G3_9
248,8G3_10
249,8G3_13
250,8G3_12
251,8G3_11
252,8G3_16
253,8G3_15
254,8G3_17
255,8G3_14
256,8G3_18
257,8G3_21
258,8G3_20
259,8G3_22
260,8G3_19
261,8G3_23
262,8G3_24
263,8G3_25
264,8D6_0
265,8D6_11
266,8D6_19
267,8D6_4
268,8D6_8
269,8D6_21
270,8D6_18
271,8D6_16
272,8D6_3
273,8D6_17
274,8D6_26
275,8D6_6
276,8D6_25
277,8D6_30
278,8D6_27
279,8D6_15
280,8D6_22
281,8D6_14
282,8D6_24
283,8D6_29
284,8D6_2
285,8D6_7
286,8D6_5
287,8D6_23
288,8D6_10
289,8D6_20
290,8D6_31
291,8D6_9
292,8D6_1
293,8D6_33
294,8D6_34
295,8D6_32
296,8D6_37
297,8D6_36
298,8D6_42
299,8D6_43
300,8D6_46
301,8D6_39
302,8D6_45
303,8D6_40
304,8D6_44
305,8D6_49
306,8D6_51
307,8D6_54
308,8D6_48
309,8D6_53
310,8D6_52
311,8D6_55
312,8D6_57
313,8D6_56
314,8D6_60
315,8D6_58
316,3B7_0
317,3B7_6
318,3B7_9
319,3B7_4
320,3B7_11
321,3B7_5
322,3B7_2
323,3B7_3
324,3B7_13
325,3B7_10
326,3B7_7
327,3B7_8
328,3B7_15
329,3B7_17
330,3B7_19
331,3B7_21
332,3B7_20
333,3B7_14
334,3B7_23
335,3B7_25
336,3B7_24
337,3B7_27
338,3B7_33
339,3B7_26
340,3B7_28
341,3B7_29
342,3B7_31
343,3B7_32
344,3F6_0
345,3F6_20
346,3F6_21
347,3F6_12
348,3F6_25
349,3F6_19
350,3F6_15
351,3F6_16
352,3F6_17
353,3F6_2
354,3F6_18
355,3F6_1
356,3F6_5
357,3F6_14
358,3F6_7
359,3F6_4
360,3F6_10
361,3F6_24
362,3F6_3
363,3F6_23
364,3F6_26
365,3F6_28
366,3F6_33
367,3F6_27
368,3F6_29
369,3F6_30
370,3F6_32
371,3F6_34
372,3F6_36
373,3F6_38
374,3F6_37
375,3F6_39
376,7D7_0
377,7D7_30
378,7D7_15
379,7D7_9
380,7D7_19
381,7D7_13
382,7D7_10
383,7D7_7
384,7D7_24
385,7D7_23
386,7D7_28
387,7D7_4
388,7D7_17
389,7D7_21
390,7D7_29
391,7D7_6
392,7D7_8
393,7D7_12
394,7D7_14
395,7D7_18
396,7D7_27
397,7D7_3
398,7D7_5
399,7D7_11
400,7D7_31
401,7D7_16
402,7D7_2
403,7D7_1
404,7D7_32
405,7D7_26
406,7D7_25
407,7D7_35
408,7D7_42
409,7D7_36
410,7D7_38
411,7D7_48
412,7D7_34
413,7D7_39
414,7D7_43
415,7D7_40
416,7D7_33
417,7D7_41
418,7D7_37
419,7D7_52
420,7D7_51
421,7D7_49
422,7D7_46
423,7D7_47
424,7D7_44
425,7D7_53
426,7D7_45
427,7D7_56
428,7D7_50
429,7D7_62
430,7D7_54
431,7D7_55
432,7D7_63
433,7D7_60
434,7D7_64
435,7D7_67
436,7D7_59
437,7D7_58
438,7D7_57
439,7D7_72
440,7D7_71
441,7D7_68
442,7D7_66
443,7D7_65
444,7D7_61
445,7D7_74
446,7D7_73
447,7D7_84
448,7D7_77
449,7D7_76
450,7D7_78
451,7D7_75
452,7D7_82
453,7D7_69
454,7D7_70
455,7D7_87
456,7D7_83
457,7D7_81
458,7D7_80
459,7D7_85
460,7D7_79
461,7D7_86
462,7D7_88
463,7D7_89
464,5F4_7
465,5F4_0
466,5F4_50
467,5F4_58
468,5F4_28
469,5F4_42
470,5F4_34
471,5F4_31
472,5F4_56
473,5F4_53
474,5F4_19
475,5F4_45
476,5F4_11
477,5F4_33
478,5F4_52
479,5F4_38
480,5F4_44
481,5F4_29
482,5F4_27
483,5F4_17
484,5F4_36
485,5F4_43
486,5F4_41
487,5F4_24
488,5F4_23
489,5F4_21
490,5F4_30
491,5F4_66
492,5F4_22
493,5F4_39
494,5F4_35
495,5F4_8
496,5F4_60
497,5F4_48
498,5F4_55
499,5F4_26
500,5F4_10
501,5F4_37
502,5F4_20
503,5F4_51
504,5F4_25
505,5F4_9
506,5F4_59
507,5F4_57
508,5F4_13
509,5F4_49
510,5F4_18
511,5F4_46
512,5F4_61
513,5F4_3
514,5F4_15
515,5F4_40
516,5F4_12
517,5F4_54
518,5F4_14
519,5F4_68
520,5F4_67
521,5F4_70
522,5F4_71
523,5F4_78
524,5F4_74
525,5F4_76
526,5F4_75
527,5F4_82
528,5F4_91
529,5F4_81
530,5F4_85
531,5F4_84
532,5F4_92
533,5F4_86
534,5F4_90
535,5F4_87
536,5F4_88
537,5F4_94
538,5F4_89
539,5F4_97
540,5F4_96
541,5F4_99
542,5F4_95
543,5F4_93
544,5F4_104
545,5F4_103
546,5F4_102
547,5F4_98
548,5F4_100
549,5F4_101
550,5F4_106
551,5F4_107
552,6F3_0
553,6F3_6
554,6F3_39
555,6F3_14
556,6F3_16
557,6F3_29
558,6F3_33
559,6F3_9
560,6F3_3
561,6F3_2
562,6F3_25
563,6F3_26
564,6F3_19
565,6F3_15
566,6F3_8
567,6F3_17
568,6F3_7
569,6F3_12
570,6F3_21
571,6F3_27
572,6F3_35
573,6F3_28
574,6F3_30
575,6F3_24
576,6F3_18
577,6F3_46
578,6F3_36
579,6F3_31
580,6F3_37
581,6F3_44
582,6F3_47
583,6F3_42
584,6F3_45
585,6F3_48
586,6F3_38
587,6F3_49
588,6F3_50
589,6F3_57
590,6F3_51
591,6F3_55
592,6F3_56
593,6F3_60
594,6F3_53
595,6F3_62
596,6F3_59
597,6F3_64
598,6F3_66
599,6F3_67
600,6F3_71
601,6F3_70
602,6F3_73
603,6F3_72
604,4F5_37
605,4F5_0
606,4F5_6
607,4F5_26
608,4F5_14
609,4F5_30
610,4F5_5
611,4F5_22
612,4F5_20
613,4F5_8
614,4F5_33
615,4F5_13
616,4F5_32
617,4F5_9
618,4F5_16
619,4F5_25
620,4F5_17
621,4F5_15
622,4F5_23
623,4F5_10
624,4F5_18
625,4F5_35
