cell_id,cell
1,H10_49
2,H10_76
3,H10_18
4,H10_38
5,H10_9
6,H10_83
7,H10_81
8,H10_40
9,H10_58
10,H10_65
11,H10_53
12,H10_0
13,H10_43
14,H10_29
15,H10_75
16,H10_11
17,H10_25
18,H10_10
19,H10_84
20,H10_44
21,H10_91
22,H10_52
23,H10_37
24,H10_48
25,H10_86
26,H10_27
27,H10_28
28,H10_50
29,H10_30
30,H10_56
31,H10_63
32,H10_80
33,H10_62
34,H10_57
35,H10_19
36,H10_95
37,H10_54
38,H10_55
39,H10_5
40,H10_45
41,H10_90
42,H10_23
43,H10_78
44,H10_66
45,H10_79
46,H10_73
47,H10_71
48,H10_15
49,H10_99
50,H10_77
51,H10_21
52,H10_92
53,H10_85
54,H10_103
55,H10_22
56,H10_3
57,H10_47
58,H10_87
59,H10_2
60,H10_88
61,H10_36
62,H10_96
63,H10_93
64,H10_1
65,H10_72
66,H10_6
67,H10_112
68,H10_100
69,H10_89
70,H10_98
71,H10_106
72,H10_108
73,H10_64
74,H10_121
75,H10_126
76,H10_74
77,H10_115
78,H10_46
79,H10_107
80,H10_117
81,H10_123
82,H10_149
83,H10_129
84,H10_124
85,H10_133
86,H10_128
87,H10_134
88,H10_131
89,H10_139
90,H10_104
91,H10_142
92,H10_137
93,H10_136
94,H10_120
95,H10_140
96,H10_138
97,H10_143
98,H10_150
99,H10_141
100,H10_145
101,H10_158
102,H10_154
103,H10_127
104,H10_152
105,H10_165
106,H10_159
107,H10_157
108,H10_182
109,H10_168
110,H10_167
111,H10_162
112,H10_111
113,H10_180
114,H10_166
115,H10_192
116,H10_151
117,H10_185
118,H10_155
119,H10_188
120,H10_181
121,H10_183
122,H10_203
123,H10_187
124,H10_191
125,H10_173
126,H10_206
127,H10_59
128,H10_164
129,H10_189
130,H10_195
131,H10_177
132,H10_169
133,H10_216
134,H10_208
135,H10_207
136,H10_199
137,H10_217
138,H10_220
139,H10_213
140,H10_230
141,H10_227
142,H10_211
143,H10_232
144,H10_226
145,H10_233
146,H10_236
147,H10_238
148,H10_246
149,H09_62
150,H09_0
151,H09_11
152,H09_63
153,H09_22
154,H09_68
155,H09_79
156,H09_88
157,H09_74
158,H09_73
159,H09_95
160,H09_139
161,H09_111
162,H09_156
163,H09_170
164,H09_178
165,H09_147
166,H08_12
167,H08_11
168,H08_0
169,H08_14
170,H08_26
171,H08_31
172,H08_1
173,H08_6
174,H08_2
175,H08_9
176,H08_39
177,H08_16
178,H08_36
179,H08_13
180,H08_40
181,H08_19
182,H08_22
183,H08_51
184,H08_15
185,H08_48
186,H08_47
187,H08_25
188,H08_8
189,H08_23
190,H08_35
191,H08_53
192,H08_45
193,H08_62
194,H08_55
195,H08_37
196,H08_43
197,H08_57
198,H08_42
199,H08_3
200,H08_80
201,H08_90
202,H08_49
