point_id,cell_id,cell_type
1,1,Excitatory_Neuron
2,1,Excitatory_Neuron
3,1,Excitatory_Neuron
4,2,unassigned
5,2,unassigned
6,2,unassigned
7,1,Excitatory_Neuron
8,1,Excitatory_Neuron
9,1,Excitatory_Neuron
10,2,unassigned
11,1,Excitatory_Neuron
12,2,unassigned
13,2,unassigned
14,1,Excitatory_Neuron
15,2,unassigned
16,2,unassigned
17,2,unassigned
18,2,unassigned
19,2,unassigned
20,2,unassigned
21,1,Excitatory_Neuron
22,1,Excitatory_Neuron
23,1,Excitatory_Neuron
24,2,unassigned
25,2,unassigned
26,2,unassigned
27,1,Excitatory_Neuron
28,2,unassigned
29,2,unassigned
30,1,Excitatory_Neuron
31,1,Excitatory_Neuron
32,2,unassigned
33,2,unassigned
34,2,unassigned
35,1,Excitatory_Neuron
36,1,Excitatory_Neuron
37,1,Excitatory_Neuron
38,1,Excitatory_Neuron
39,1,Excitatory_Neuron
40,1,Excitatory_Neuron
41,1,Excitatory_Neuron
42,1,Excitatory_Neuron
43,2,unassigned
44,2,unassigned
45,2,unassigned
46,3,Excitatory_Neuron
47,1,Excitatory_Neuron
48,1,Excitatory_Neuron
49,1,Excitatory_Neuron
50,1,Excitatory_Neuron
51,2,unassigned
52,2,unassigned
53,4,unassigned
54,1,Excitatory_Neuron
55,2,unassigned
56,5,Excitatory_Neuron
57,2,unassigned
58,2,unassigned
59,1,Excitatory_Neuron
60,1,Excitatory_Neuron
61,1,Excitatory_Neuron
62,1,Excitatory_Neuron
63,1,Excitatory_Neuron
64,1,Excitatory_Neuron
65,1,Excitatory_Neuron
66,1,Excitatory_Neuron
67,1,Excitatory_Neuron
68,1,Excitatory_Neuron
69,2,unassigned
70,2,unassigned
71,2,unassigned
72,2,unassigned
73,1,Excitatory_Neuron
74,1,Excitatory_Neuron
75,1,Excitatory_Neuron
76,1,Excitatory_Neuron
77,6,Excitatory_Neuron
78,2,unassigned
79,2,unassigned
80,2,unassigned
81,1,Excitatory_Neuron
82,2,unassigned
83,3,Excitatory_Neuron
84,1,Excitatory_Neuron
85,1,Excitatory_Neuron
86,1,Excitatory_Neuron
87,2,unassigned
88,2,unassigned
89,1,Excitatory_Neuron
90,1,Excitatory_Neuron
91,1,Excitatory_Neuron
92,1,Excitatory_Neuron
93,2,unassigned
94,5,Excitatory_Neuron
95,1,Excitatory_Neuron
96,2,unassigned
97,6,Excitatory_Neuron
98,1,Excitatory_Neuron
99,5,Excitatory_Neuron
100,2,unassigned
101,2,unassigned
102,2,unassigned
103,2,unassigned
104,7,Excitatory_Neuron
105,1,Excitatory_Neuron
106,1,Excitatory_Neuron
107,1,Excitatory_Neuron
108,1,Excitatory_Neuron
109,8,Astro-Epen
110,2,unassigned
111,1,Excitatory_Neuron
112,2,unassigned
113,2,unassigned
114,2,unassigned
115,2,unassigned
116,2,unassigned
117,1,Excitatory_Neuron
118,1,Excitatory_Neuron
119,2,unassigned
120,2,unassigned
121,1,Excitatory_Neuron
122,3,Excitatory_Neuron
123,1,Excitatory_Neuron
124,1,Excitatory_Neuron
125,5,Excitatory_Neuron
126,9,Astro-Epen
127,2,unassigned
128,1,Excitatory_Neuron
129,2,unassigned
130,2,unassigned
131,1,Excitatory_Neuron
132,1,Excitatory_Neuron
133,2,unassigned
134,2,unassigned
135,2,unassigned
136,2,unassigned
137,2,unassigned
138,1,Excitatory_Neuron
139,1,Excitatory_Neuron
140,2,unassigned
141,2,unassigned
142,1,Excitatory_Neuron
143,2,unassigned
144,2,unassigned
145,2,unassigned
146,1,Excitatory_Neuron
147,1,Excitatory_Neuron
148,2,unassigned
149,2,unassigned
150,2,unassigned
151,2,unassigned
152,4,unassigned
153,2,unassigned
154,2,unassigned
155,1,Excitatory_Neuron
156,2,unassigned
157,2,unassigned
158,1,Excitatory_Neuron
159,1,Excitatory_Neuron
160,2,unassigned
161,2,unassigned
162,3,Excitatory_Neuron
163,6,Excitatory_Neuron
164,1,Excitatory_Neuron
165,2,unassigned
166,2,unassigned
167,2,unassigned
168,1,Excitatory_Neuron
169,2,unassigned
170,3,Excitatory_Neuron
171,2,unassigned
172,2,unassigned
173,2,unassigned
174,2,unassigned
175,2,unassigned
176,5,Excitatory_Neuron
177,2,unassigned
178,1,Excitatory_Neuron
179,1,Excitatory_Neuron
180,2,unassigned
181,2,unassigned
182,2,unassigned
183,4,unassigned
184,3,Excitatory_Neuron
185,1,Excitatory_Neuron
186,1,Excitatory_Neuron
187,2,unassigned
188,1,Excitatory_Neuron
189,1,Excitatory_Neuron
190,2,unassigned
191,4,unassigned
192,1,Excitatory_Neuron
193,10,unassigned
194,2,unassigned
195,2,unassigned
196,1,Excitatory_Neuron
197,11,unassigned
198,10,unassigned
199,2,unassigned
200,5,Excitatory_Neuron
201,1,Excitatory_Neuron
202,2,unassigned
203,2,unassigned
204,5,Excitatory_Neuron
205,2,unassigned
206,2,unassigned
207,10,unassigned
208,2,unassigned
209,2,unassigned
210,2,unassigned
211,2,unassigned
212,1,Excitatory_Neuron
213,3,Excitatory_Neuron
214,2,unassigned
215,10,unassigned
216,2,unassigned
217,1,Excitatory_Neuron
218,2,unassigned
219,12,Immune
220,2,unassigned
221,2,unassigned
222,2,unassigned
223,2,unassigned
224,5,Excitatory_Neuron
225,2,unassigned
226,2,unassigned
