cell_id,cell
1,C06_0
2,C06_26
3,C06_14
4,C06_21
5,C06_24
6,C06_20
7,C06_19
8,C06_10
9,C06_8
10,C06_4
11,C06_37
12,C06_13
13,C06_27
14,C06_7
15,C06_5
16,C06_22
17,C06_30
18,C06_39
19,C06_1
20,C06_15
21,C06_6
22,C06_12
23,C06_41
24,C06_18
25,C06_31
26,C06_17
27,C06_38
28,C06_34
29,C06_49
30,C06_36
31,C06_16
32,C06_3
33,C06_40
34,C06_29
35,C06_43
36,C06_50
37,C06_45
38,C06_28
39,C06_44
40,C06_42
41,C06_52
42,C06_48
43,C06_53
44,C06_46
45,C06_55
46,C06_56
47,C06_60
48,C06_61
49,C06_57
50,C06_59
51,C06_62
52,C06_67
53,C06_68
54,C06_63
55,C06_65
56,C06_69
57,C06_70
58,C06_74
59,C06_72
60,C06_80
61,C06_76
62,C06_73
63,C06_71
64,C06_81
65,C06_75
66,C06_79
67,G04_0
68,G04_7
69,G04_6
70,G04_10
71,G04_12
72,G04_11
73,G04_5
74,G04_4
75,G04_9
76,G04_16
77,G04_17
78,G04_18
79,G04_22
80,G04_21
81,G04_20
82,G04_23
83,G04_27
84,G04_26
85,G04_25
86,G04_28
87,G04_24
88,G04_31
89,G04_30
90,G04_29
91,G04_34
92,G04_33
93,G04_32
94,G04_37
95,G04_38
96,G04_36
97,G04_40
98,G04_42
99,G04_41
100,G04_39
101,G04_43
102,D03_0
103,D03_15
104,D03_13
105,D03_16
106,D03_12
107,D03_27
108,D03_24
109,D03_20
110,D03_19
111,D03_10
112,D03_7
113,D03_14
114,D03_3
115,D03_23
116,D03_6
117,D03_28
118,D03_17
119,D03_26
120,D03_31
121,D03_29
122,D03_30
123,D03_35
124,D03_34
125,D03_32
126,D03_25
127,D03_36
128,D03_41
129,D03_40
130,D03_39
131,D03_38
132,D03_37
133,D03_46
134,D03_42
135,D03_45
136,D03_43
137,D03_49
138,D03_48
139,D03_52
140,D03_56
141,D03_50
142,D03_47
143,D03_51
144,D03_55
145,D03_54
146,D03_53
147,D03_57
148,D03_59
149,D03_61
150,H07_0
151,H07_49
152,H07_101
153,H07_44
154,H07_88
155,H07_21
156,H07_60
157,H07_79
158,H07_17
159,H07_48
160,H07_76
161,H07_28
162,H07_64
163,H07_69
164,H07_55
165,H07_25
166,H07_89
167,H07_58
168,H07_12
169,H07_32
170,H07_4
171,H07_119
172,H07_62
173,H07_40
174,H07_46
175,H07_80
176,H07_16
177,H07_108
178,H07_107
179,H07_97
180,H07_13
181,H07_113
182,H07_59
183,H07_23
184,H07_41
185,H07_35
186,H07_68
187,H07_111
188,H07_9
189,H07_52
190,H07_15
191,H07_66
192,H07_18
193,H07_47
194,H07_93
195,H07_36
196,H07_34
197,H07_20
198,H07_8
199,H07_29
200,H07_38
201,H07_96
202,H07_5
203,H07_70
204,H07_94
205,H07_71
206,H07_117
207,H07_92
208,H07_72
209,H07_81
210,H07_19
211,H07_45
212,H07_3
213,H07_86
214,H07_31
215,H07_2
216,H07_50
217,H07_65
218,H07_11
219,H07_26
220,H07_98
221,H07_39
222,H07_91
223,H07_99
224,H07_110
225,H07_51
226,H07_75
227,H07_114
228,H07_126
229,H07_54
230,H07_1
231,H07_27
232,H07_105
233,H07_112
234,H07_63
235,H07_121
236,H07_102
237,H07_125
238,H07_83
239,H07_109
240,H07_95
241,H07_130
242,H07_103
243,H07_106
244,H07_116
245,H07_155
246,H07_145
247,H07_123
248,H07_146
249,H07_128
250,H07_134
251,H07_142
252,H07_122
253,H07_153
254,H07_137
255,H07_127
256,H07_135
257,H07_139
258,H07_138
259,H07_141
260,H07_85
261,H07_136
262,H07_149
263,H07_144
264,H07_161
265,H07_154
266,H07_157
267,H07_140
268,H07_148
269,H07_159
270,H07_150
271,H07_163
272,H07_162
273,H07_158
274,H07_167
275,H07_147
276,H07_177
277,H07_173
278,H07_170
279,H07_179
280,H07_196
281,H07_151
282,H07_166
283,H07_168
284,H07_160
285,H07_175
286,H07_189
287,H07_181
288,H07_188
289,H07_156
290,H07_174
291,H07_187
292,H07_198
293,H07_184
294,H07_197
295,H07_193
296,H07_185
297,H07_203
298,H07_206
299,H07_192
300,H07_209
301,H07_195
302,H07_191
303,H07_182
304,H07_205
305,H07_218
306,H07_201
307,H07_194
308,H07_199
309,H07_208
310,H07_228
311,H07_214
312,H07_190
313,H07_216
314,H07_219
315,H07_210
316,H07_180
317,H07_204
318,H07_207
319,H07_202
320,H07_220
321,H07_225
322,H07_212
323,H07_217
324,H07_221
325,H07_235
326,H07_237
327,H07_211
328,H07_244
329,H07_233
330,H07_234
331,H07_242
332,H07_231
333,H07_238
334,H07_226
335,H07_241
336,H07_229
337,H07_240
338,H07_268
339,H07_227
340,H07_262
341,H07_258
342,H07_254
343,H07_223
344,H07_248
345,H07_249
346,H07_259
347,H07_236
348,H07_271
349,H07_243
350,H07_277
351,H07_267
352,H07_274
353,H07_292
354,H07_275
355,H07_278
356,H07_260
357,H07_272
358,H07_273
359,H07_288
360,H07_279
361,H07_280
362,H07_286
363,H07_303
364,H07_295
365,H07_290
366,H07_245
367,I02_0
368,I02_24
369,I02_45
370,I02_14
371,I02_27
372,I02_19
373,I02_11
374,I02_8
375,I02_26
376,I02_7
377,I02_15
378,I02_10
379,I02_21
380,I02_25
381,I02_3
382,I02_2
383,I02_28
384,I02_4
385,I02_6
386,I02_5
387,I02_22
388,I02_38
389,I02_20
390,I02_33
391,I02_30
392,I02_37
393,I02_46
394,I02_49
395,I02_42
396,I02_41
397,I02_52
398,I02_40
399,I02_44
400,I02_43
401,I02_53
402,I02_50
403,I02_51
404,I02_39
405,I02_48
406,I02_36
407,I02_62
408,I02_54
409,I02_56
410,I02_58
411,I02_29
412,I02_60
413,I02_61
414,I02_59
415,I02_55
416,I02_65
417,I02_73
418,I02_67
419,I02_75
420,I02_64
421,I02_68
422,I02_72
423,I02_69
424,I02_63
425,I02_81
426,I02_77
427,I02_80
428,I02_71
429,I02_87
430,I02_78
431,I02_76
432,I02_88
433,I02_91
434,I02_74
435,I02_90
436,I02_89
437,I02_99
438,I02_94
439,I02_92
440,I02_93
441,I02_101
442,I02_105
443,I02_111
444,I02_97
445,I02_95
446,I02_107
447,I02_103
448,I02_108
449,I02_104
450,I02_106
451,I02_109
452,I02_110
453,I02_115
454,I02_98
455,I02_113
456,I02_114
457,I02_117
458,J05_54
459,J05_35
460,J05_50
461,J05_0
462,J05_59
463,J05_52
464,J05_57
465,J05_58
466,J05_42
467,J05_61
468,J05_47
469,J05_8
470,J05_46
471,J05_60
472,J05_38
473,J05_101
474,J05_62
475,J05_73
476,J05_26
477,J05_51
478,J05_40
479,J05_65
480,J05_34
481,J05_1
482,J05_30
483,J05_27
484,J05_55
485,J05_64
486,J05_19
487,J05_74
488,J05_70
489,J05_36
490,J05_45
491,J05_22
492,J05_33
493,J05_91
494,J05_39
495,J05_56
496,J05_41
497,J05_12
498,J05_32
499,J05_23
500,J05_43
501,J05_63
502,J05_29
503,J05_24
504,J05_75
505,J05_7
506,J05_4
507,J05_11
508,J05_21
509,J05_80
510,J05_16
511,J05_67
512,J05_13
513,J05_118
514,J05_82
515,J05_17
516,J05_81
517,J05_85
518,J05_92
519,J05_86
520,J05_90
521,J05_2
522,J05_79
523,J05_87
524,J05_89
525,J05_111
526,J05_88
