point_id,cell_id,cell_type
1,1,unassigned
2,2,Excitatory_Neuron
3,3,Excitatory_Neuron
4,1,unassigned
5,4,Excitatory_Neuron
6,1,unassigned
7,5,unassigned
8,6,GABA_Neuron
9,7,Excitatory_Neuron
10,8,Excitatory_Neuron
11,9,unassigned
12,10,Excitatory_Neuron
13,11,Excitatory_Neuron
14,11,Excitatory_Neuron
15,12,unassigned
16,11,Excitatory_Neuron
17,1,unassigned
18,2,Excitatory_Neuron
19,13,unassigned
20,1,unassigned
21,14,Astro-Epen
22,8,Excitatory_Neuron
23,15,unassigned
24,15,unassigned
25,1,unassigned
26,1,unassigned
27,16,GABA_Neuron
28,1,unassigned
29,17,unassigned
30,18,unassigned
31,2,Excitatory_Neuron
32,19,Excitatory_Neuron
33,7,Excitatory_Neuron
34,16,GABA_Neuron
35,8,Excitatory_Neuron
36,8,Excitatory_Neuron
37,10,Excitatory_Neuron
38,1,unassigned
39,2,Excitatory_Neuron
40,1,unassigned
41,4,Excitatory_Neuron
42,4,Excitatory_Neuron
43,4,Excitatory_Neuron
44,20,unassigned
45,19,Excitatory_Neuron
46,13,unassigned
47,1,unassigned
48,21,Excitatory_Neuron
49,1,unassigned
50,14,Astro-Epen
51,6,GABA_Neuron
52,14,Astro-Epen
53,1,unassigned
54,1,unassigned
55,6,GABA_Neuron
56,7,Excitatory_Neuron
57,1,unassigned
58,16,GABA_Neuron
59,22,unassigned
60,23,Astro-Epen
61,12,unassigned
62,1,unassigned
63,1,unassigned
64,11,Excitatory_Neuron
65,18,unassigned
66,18,unassigned
67,1,unassigned
68,1,unassigned
69,2,Excitatory_Neuron
70,19,Excitatory_Neuron
71,13,unassigned
72,19,Excitatory_Neuron
73,21,Excitatory_Neuron
74,3,Excitatory_Neuron
75,7,Excitatory_Neuron
76,8,Excitatory_Neuron
77,2,Excitatory_Neuron
78,19,Excitatory_Neuron
79,19,Excitatory_Neuron
80,24,Astro-Epen
81,1,unassigned
82,24,Astro-Epen
83,1,unassigned
84,16,GABA_Neuron
85,8,Excitatory_Neuron
86,25,Excitatory_Neuron
87,26,Excitatory_Neuron
88,25,Excitatory_Neuron
89,1,unassigned
90,11,Excitatory_Neuron
91,1,unassigned
92,27,unassigned
93,2,Excitatory_Neuron
94,2,Excitatory_Neuron
95,2,Excitatory_Neuron
96,24,Astro-Epen
97,19,Excitatory_Neuron
98,28,unassigned
99,14,Astro-Epen
100,7,Excitatory_Neuron
101,1,unassigned
102,16,GABA_Neuron
103,29,Immune
104,18,unassigned
105,27,unassigned
106,2,Excitatory_Neuron
107,1,unassigned
108,1,unassigned
109,4,Excitatory_Neuron
110,24,Astro-Epen
111,19,Excitatory_Neuron
112,1,unassigned
113,5,unassigned
114,28,unassigned
115,8,Excitatory_Neuron
116,3,Excitatory_Neuron
117,3,Excitatory_Neuron
118,11,Excitatory_Neuron
119,30,Astro-Epen
120,31,Excitatory_Neuron
121,10,Excitatory_Neuron
122,26,Excitatory_Neuron
123,17,unassigned
124,32,unassigned
125,32,unassigned
126,1,unassigned
127,33,Excitatory_Neuron
128,4,Excitatory_Neuron
129,33,Excitatory_Neuron
130,34,unassigned
131,21,Excitatory_Neuron
132,21,Excitatory_Neuron
133,7,Excitatory_Neuron
134,15,unassigned
135,35,unassigned
136,29,Immune
137,19,Excitatory_Neuron
138,4,Excitatory_Neuron
139,24,Astro-Epen
140,24,Astro-Epen
141,1,unassigned
142,21,Excitatory_Neuron
143,14,Astro-Epen
144,21,Excitatory_Neuron
145,12,unassigned
146,12,unassigned
147,1,unassigned
148,24,Astro-Epen
149,15,unassigned
150,12,unassigned
151,11,Excitatory_Neuron
152,36,unassigned
153,37,unassigned
154,2,Excitatory_Neuron
155,24,Astro-Epen
156,19,Excitatory_Neuron
157,21,Excitatory_Neuron
158,1,unassigned
159,10,Excitatory_Neuron
160,11,Excitatory_Neuron
161,11,Excitatory_Neuron
162,18,unassigned
163,19,Excitatory_Neuron
164,24,Astro-Epen
165,5,unassigned
