cell_id,cell
1,J04_0
2,J04_65
3,J04_58
4,J04_25
5,J04_33
6,J04_47
7,J04_31
8,J04_53
9,J04_32
10,J04_68
11,J04_56
12,J04_60
13,J04_78
14,J04_27
15,J04_82
16,J04_39
17,J04_74
18,J04_3
19,J04_123
20,J04_8
21,J04_66
22,J04_9
23,J04_79
24,J04_20
25,J04_85
26,J04_75
27,J04_34
28,J04_15
29,J04_42
30,J04_36
31,J04_45
32,J04_90
33,J04_49
34,J04_50
35,J04_113
36,J04_54
37,J04_117
38,J04_59
39,J04_21
40,J04_102
41,J04_46
42,J04_30
43,J04_24
44,J04_26
45,J04_14
46,J04_38
47,J04_51
48,J04_18
49,J04_44
50,J04_11
51,J04_83
52,J04_16
53,J04_87
54,J04_116
55,J04_5
56,J04_64
57,J04_63
58,J04_28
59,J04_2
60,J04_72
61,J04_86
62,J04_134
63,J04_120
64,J04_4
65,J04_10
66,J04_48
67,J04_35
68,J04_40
69,J04_23
70,J04_22
71,J04_37
72,J04_19
73,J04_13
74,J04_98
75,J04_122
76,J04_115
77,J04_124
78,J04_62
79,J04_92
80,J04_12
81,J04_144
82,J04_29
83,J04_146
84,J04_57
85,J04_97
86,J04_71
87,J04_147
88,J04_140
89,J04_153
90,J04_155
91,J04_164
92,J04_160
93,J04_148
94,J04_139
95,J04_162
96,J04_158
97,J04_159
98,J04_163
99,J04_150
100,J04_143
101,J04_178
102,J04_170
103,J04_167
104,J04_168
105,J04_183
106,J04_157
107,J04_165
108,J04_174
109,J04_175
110,J04_169
111,J04_101
112,J04_188
113,J04_204
114,J04_198
115,J04_189
116,J04_179
117,J04_208
118,J04_190
119,J04_187
120,J04_194
121,J04_191
122,J04_215
123,J04_207
124,J04_166
125,J04_229
126,J04_221
127,J04_197
128,J04_196
129,J04_202
130,J04_237
131,J04_220
132,J04_201
133,J04_205
134,J04_248
135,J04_236
136,J04_231
137,J04_234
138,J04_226
139,J04_255
140,J04_218
141,J04_222
142,J04_219
143,J04_235
144,J04_230
145,J04_214
146,J04_233
147,J04_217
148,J04_213
149,J04_244
150,J04_182
151,J04_223
152,J04_245
153,J04_227
154,J04_252
155,J04_250
156,J04_256
157,J04_239
158,J04_263
159,J04_268
160,J04_260
161,J04_259
162,J04_247
163,J04_270
164,J04_265
165,J04_273
166,J04_271
167,I02_31
168,I02_93
169,I02_79
170,I02_35
171,I02_15
172,I02_47
173,I02_32
174,I02_0
175,I02_89
176,I02_18
177,I02_71
178,I02_46
179,I02_50
180,I02_34
181,I02_52
182,I02_14
183,I02_41
184,I02_51
185,I02_65
186,I02_80
187,I02_56
188,I02_13
189,I02_69
190,I02_26
191,I02_68
192,I02_53
193,I02_121
194,I02_27
195,I02_12
196,I02_10
197,I02_98
198,I02_63
199,I02_48
200,I02_77
201,I02_21
202,I02_45
203,I02_16
204,I02_74
205,I02_49
206,I02_20
207,I02_30
208,I02_33
209,I02_97
210,I02_59
211,I02_28
212,I02_7
213,I02_23
214,I02_37
215,I02_90
216,I02_39
217,I02_57
218,I02_72
219,I02_42
220,I02_76
221,I02_40
222,I02_91
223,I02_85
224,I02_95
225,I02_67
226,I02_11
227,I02_88
228,I02_105
229,I02_9
230,I02_112
231,I02_106
232,I02_61
233,I02_99
234,I02_107
235,I02_114
236,I02_109
237,I02_8
238,I02_116
239,I02_102
240,I02_104
241,I02_6
242,I02_64
243,I02_111
244,I02_54
245,I02_122
246,I02_125
247,I02_126
248,I02_128
249,I02_123
250,I02_127
251,I02_135
252,I02_129
253,I02_134
254,I02_136
255,I02_139
256,I02_146
257,I02_149
258,I02_145
259,I02_124
260,I02_147
261,I02_154
262,I02_152
263,I02_172
264,I02_159
265,I02_176
266,I02_148
267,I02_131
268,I02_161
269,I02_169
270,I02_163
271,I02_171
272,I02_166
273,I02_174
274,I02_170
275,I02_168
276,I02_160
277,I02_165
278,I02_181
279,I02_185
280,I02_188
281,I02_177
282,I02_175
283,I02_184
284,I02_191
285,I02_201
286,I02_192
287,I02_193
288,I02_204
289,I02_120
290,I02_198
291,I02_186
292,I02_194
293,I02_196
294,I02_200
295,I02_206
296,I02_205
297,I02_182
298,I02_208
299,I02_221
300,I02_207
301,I02_210
302,I02_211
303,I02_220
304,I02_212
305,I02_217
306,I02_218
307,I02_202
308,I02_227
309,I04_50
310,I04_15
311,I04_43
312,I04_83
313,I04_57
314,I04_36
315,I04_38
316,I04_68
317,I04_88
318,I04_27
319,I04_44
320,I04_11
321,I04_95
322,I04_8
323,I04_10
324,I04_61
325,I04_25
326,I04_28
327,I04_0
328,I04_74
329,I04_22
330,I04_89
331,I04_63
332,I04_37
333,I04_87
334,I04_42
335,I04_47
336,I04_12
337,I04_16
338,I04_24
339,I04_54
340,I04_35
341,I04_30
342,I04_39
343,I04_33
344,I04_21
345,I04_18
346,I04_14
347,I04_69
348,I04_13
349,I04_51
350,I04_67
351,I04_82
352,I04_20
353,I04_78
354,I04_86
355,I04_59
356,I04_90
357,I04_46
358,I04_70
359,I04_49
360,I04_55
361,I04_41
362,I04_84
363,I04_62
364,I04_40
365,I04_45
366,I04_96
367,I04_29
368,I04_17
369,I04_106
370,I04_77
371,I04_104
372,I04_123
373,I04_131
374,I04_101
375,I04_109
376,I04_117
377,I04_112
378,I04_118
379,I04_111
380,I04_105
381,I04_125
382,I04_114
383,I04_110
384,I04_120
385,I04_52
386,I04_124
387,I04_103
388,I04_122
389,I04_129
390,I04_130
