point_id,gene,Z,X,Y,fov
1,ACTB,1.0128508639333966,431.81390322318083,133.7244070484078,F5_B_rightFOV_75J04
2,ACTB,1.0023121763767224,440.93614220117325,142.57633458075685,F5_B_rightFOV_75J04
3,ACTB,1.0557136040648412,439.75172455467106,142.9381547352884,F5_B_rightFOV_75J04
4,ACTB,1.0546358142493635,456.22200356120504,148.07485797284153,F5_B_rightFOV_75J04
5,Slc1a3,0.9166172798041144,482.83494206298025,173.9110363811737,F5_B_rightFOV_75J04
6,Syp,0.9633127507586526,491.49887807374773,168.0401612825808,F5_B_rightFOV_75J04
7,Lgals3bp,0.9879969873654618,492.61444520670267,168.9151260637691,F5_B_rightFOV_75J04
8,UNC13A,1.0250301502028285,452.67332858239206,160.9097778187835,F5_B_rightFOV_75J04
9,Lgals3bp,0.9341681632653065,466.65327804081625,169.8421698843153,F5_B_rightFOV_75J04
10,ACTB,1.1204998023895656,475.7941256878363,154.50914267568638,F5_B_rightFOV_75J04
11,Sox2,0.9973994363310276,478.49535796639924,160.86485573267888,F5_B_rightFOV_75J04
12,Laptm5,0.9876715369449133,485.1920016451881,150.6393961098104,F5_B_rightFOV_75J04
13,Syp,0.9350798316315555,491.55210690986576,168.3658153368251,F5_B_rightFOV_75J04
14,Itm2b,0.9240243747976983,495.46024304431677,142.22134166987158,F5_B_rightFOV_75J04
15,Neurod6,1.1439277448608458,406.1121399969561,152.06924997512448,F5_B_rightFOV_75J04
16,UNC13A,0.9715798248905383,407.7337360627089,127.04671706457806,F5_B_rightFOV_75J04
17,Grin3a,1.0035061448841327,477.4269145925019,129.05808125651689,F5_B_rightFOV_75J04
18,Gusb,1.0387323141087041,487.39331787926903,174.45413067703808,F5_B_rightFOV_75J04
19,Grin3a,1.0071870132789544,496.32127486793325,180.23134427927977,F5_B_rightFOV_75J04
20,Grin3a,0.9246618647458984,420.2499846938776,130.80047493193408,F5_B_rightFOV_75J04
21,Irg1,1.0700062130066308,423.04409638341104,163.42319711206787,F5_B_rightFOV_75J04
22,Gfap,1.0485269945631555,428.86947605543673,182.81107597909224,F5_B_rightFOV_75J04
23,ACTB,1.0397006603264,458.01721586732486,141.68850305080534,F5_B_rightFOV_75J04
24,Irg1,1.0613731392757615,460.10860032463006,193.14941835383448,F5_B_rightFOV_75J04
25,CcrlG,1.0330915262490776,463.3878617617781,130.63572534813164,F5_B_rightFOV_75J04
26,Irg1,1.0128642738293328,471.333159733777,183.85200599976906,F5_B_rightFOV_75J04
27,P2ry1,1.0523077241172547,475.19881811305396,143.54391352310228,F5_B_rightFOV_75J04
28,Olfml3,1.1350996424685211,476.50732253484654,188.5059685085814,F5_B_rightFOV_75J04
29,Lgals3bp,1.158928047850823,478.721531509142,138.7426575834796,F5_B_rightFOV_75J04
30,Gfap,0.9969025337930274,481.81894223327134,130.51278277404995,F5_B_rightFOV_75J04
31,UNC13A,1.2545053221057256,491.6046934302948,179.72340995454528,F5_B_rightFOV_75J04
32,Lgals3bp,1.044967561828152,492.40284065617004,169.298175252578,F5_B_rightFOV_75J04
