point_id,cell_id,cell_type
1,1,unassigned
2,1,unassigned
3,1,unassigned
4,2,unassigned
5,3,Excitatory_Neuron
6,1,unassigned
7,3,Excitatory_Neuron
8,3,Excitatory_Neuron
9,3,Excitatory_Neuron
10,3,Excitatory_Neuron
11,3,Excitatory_Neuron
12,3,Excitatory_Neuron
13,3,Excitatory_Neuron
14,3,Excitatory_Neuron
15,1,unassigned
16,3,Excitatory_Neuron
17,3,Excitatory_Neuron
18,3,Excitatory_Neuron
19,3,Excitatory_Neuron
20,4,Astro-Epen
21,3,Excitatory_Neuron
22,3,Excitatory_Neuron
23,4,Astro-Epen
24,3,Excitatory_Neuron
25,5,unassigned
26,5,unassigned
27,3,Excitatory_Neuron
28,3,Excitatory_Neuron
29,4,Astro-Epen
30,3,Excitatory_Neuron
31,3,Excitatory_Neuron
32,5,unassigned
33,3,Excitatory_Neuron
34,3,Excitatory_Neuron
35,3,Excitatory_Neuron
36,3,Excitatory_Neuron
37,3,Excitatory_Neuron
38,4,Astro-Epen
39,3,Excitatory_Neuron
40,6,unassigned
41,5,unassigned
42,3,Excitatory_Neuron
43,3,Excitatory_Neuron
44,5,unassigned
45,3,Excitatory_Neuron
46,3,Excitatory_Neuron
47,5,unassigned
48,3,Excitatory_Neuron
49,3,Excitatory_Neuron
50,3,Excitatory_Neuron
51,3,Excitatory_Neuron
52,6,unassigned
53,6,unassigned
54,6,unassigned
55,6,unassigned
56,5,unassigned
57,5,unassigned
58,5,unassigned
59,3,Excitatory_Neuron
60,6,unassigned
61,6,unassigned
62,6,unassigned
63,6,unassigned
64,6,unassigned
65,3,Excitatory_Neuron
66,3,Excitatory_Neuron
67,5,unassigned
68,7,unassigned
69,6,unassigned
70,6,unassigned
71,6,unassigned
72,6,unassigned
73,6,unassigned
74,3,Excitatory_Neuron
75,8,unassigned
76,3,Excitatory_Neuron
77,9,unassigned
78,6,unassigned
79,1,unassigned
80,10,unassigned
81,1,unassigned
82,1,unassigned
83,11,unassigned
84,11,unassigned
85,12,Excitatory_Neuron
86,13,Excitatory_Neuron
87,13,Excitatory_Neuron
88,14,Excitatory_Neuron
89,14,Excitatory_Neuron
90,15,unassigned
91,16,Excitatory_Neuron
92,17,Excitatory_Neuron
93,11,unassigned
94,18,Excitatory_Neuron
95,13,Excitatory_Neuron
96,17,Excitatory_Neuron
97,19,Excitatory_Neuron
98,20,unassigned
99,21,unassigned
100,21,unassigned
101,21,unassigned
102,22,Excitatory_Neuron
103,22,Excitatory_Neuron
104,22,Excitatory_Neuron
105,23,unassigned
106,24,Immune
107,24,Immune
108,25,unassigned
109,24,Immune
110,24,Immune
111,26,Excitatory_Neuron
112,11,unassigned
113,27,Excitatory_Neuron
114,16,Excitatory_Neuron
115,28,unassigned
116,29,Excitatory_Neuron
117,11,unassigned
118,30,Excitatory_Neuron
119,31,Excitatory_Neuron
120,32,unassigned
121,18,Excitatory_Neuron
122,29,Excitatory_Neuron
123,29,Excitatory_Neuron
124,30,Excitatory_Neuron
125,29,Excitatory_Neuron
126,31,Excitatory_Neuron
127,31,Excitatory_Neuron
128,31,Excitatory_Neuron
129,31,Excitatory_Neuron
130,33,Excitatory_Neuron
131,33,Excitatory_Neuron
132,24,Immune
133,31,Excitatory_Neuron
134,31,Excitatory_Neuron
135,11,unassigned
136,18,Excitatory_Neuron
137,34,unassigned
138,35,Excitatory_Neuron
139,24,Immune
140,36,Astro-Epen
141,35,Excitatory_Neuron
142,13,Excitatory_Neuron
143,13,Excitatory_Neuron
144,13,Excitatory_Neuron
145,13,Excitatory_Neuron
146,13,Excitatory_Neuron
147,14,Excitatory_Neuron
148,14,Excitatory_Neuron
149,37,Excitatory_Neuron
150,14,Excitatory_Neuron
151,15,unassigned
152,14,Excitatory_Neuron
153,14,Excitatory_Neuron
154,14,Excitatory_Neuron
155,14,Excitatory_Neuron
156,17,Excitatory_Neuron
157,19,Excitatory_Neuron
158,19,Excitatory_Neuron
159,17,Excitatory_Neuron
160,17,Excitatory_Neuron
161,17,Excitatory_Neuron
162,19,Excitatory_Neuron
163,19,Excitatory_Neuron
164,38,Excitatory_Neuron
165,38,Excitatory_Neuron
166,19,Excitatory_Neuron
167,19,Excitatory_Neuron
168,19,Excitatory_Neuron
169,38,Excitatory_Neuron
170,22,Excitatory_Neuron
171,39,Excitatory_Neuron
172,39,Excitatory_Neuron
173,32,unassigned
174,39,Excitatory_Neuron
175,39,Excitatory_Neuron
176,40,unassigned
177,21,unassigned
178,22,Excitatory_Neuron
179,33,Excitatory_Neuron
180,33,Excitatory_Neuron
181,24,Immune
182,24,Immune
183,41,Excitatory_Neuron
