cell_id,cell
1,A01_0
2,A01_3
3,A01_2
4,A01_4
5,A01_5
6,A01_6
7,A01_7
8,A01_8
9,A01_9
10,A01_10
11,A01_11
12,A01_12
13,C03_0
14,C03_63
15,C03_41
16,C03_29
17,C03_25
18,C03_64
19,C03_20
20,C03_58
21,C03_15
22,C03_44
23,C03_31
24,C03_43
25,C03_33
26,C03_77
27,C03_40
28,C03_18
29,C03_7
30,C03_30
31,C03_24
32,C03_9
33,C03_16
34,C03_86
35,C03_6
36,C03_3
37,C03_13
38,C03_12
39,C03_45
40,C03_26
41,C03_84
42,C03_57
43,C03_11
44,C03_56
45,C03_72
46,C03_55
47,C03_51
48,C03_47
49,C03_23
50,C03_82
51,C03_67
52,C03_98
53,C03_42
54,C03_88
55,C03_59
56,C03_21
57,C03_78
58,C03_8
59,C03_50
60,C03_61
61,C03_70
62,C03_100
63,C03_35
64,C03_19
65,C03_115
66,C03_92
67,C03_121
68,C03_62
69,C03_104
70,C03_99
71,C03_107
72,C03_95
73,C03_36
74,C03_49
75,C03_113
76,C03_74
77,C03_91
78,C03_93
79,C03_94
80,C03_14
81,C03_120
82,C03_138
83,C03_110
84,C03_105
85,C03_75
86,C03_114
87,C03_109
88,C03_119
89,C03_124
90,C03_89
91,C03_117
92,C03_118
93,C03_76
94,C03_129
95,C03_126
96,C03_159
97,C03_134
98,C03_145
99,C03_152
100,C03_175
101,C03_130
102,C03_150
103,C03_133
104,C03_69
105,C03_147
106,C03_151
107,C03_141
108,C03_142
109,C03_143
110,C03_127
111,C03_163
112,C03_154
113,C03_125
114,C03_158
115,C03_164
116,C03_160
117,C03_183
118,C03_161
119,C03_181
120,C03_162
121,C03_167
122,C03_148
123,C03_177
124,C03_179
125,C03_176
126,C03_155
127,C03_173
128,C03_166
129,C03_157
130,C03_178
131,C03_191
132,C03_195
133,C03_182
134,C03_170
135,C03_210
136,C03_180
137,C03_189
138,C03_205
139,C03_190
140,C03_192
141,C03_194
142,C03_184
143,C03_188
144,C03_204
145,C03_206
146,C03_214
147,C03_200
148,C03_211
149,C03_203
150,C03_216
151,C03_213
152,C03_225
153,C03_224
154,C03_223
155,C03_218
156,C03_220
157,C03_217
158,C03_227
159,C03_244
160,C03_228
161,C03_226
162,C03_219
163,C03_232
164,C03_230
165,C03_229
166,C03_235
167,C03_242
168,C03_243
169,C03_237
170,C03_247
