cell_id,cell
1,D05_2
2,D05_0
3,D05_16
4,D05_6
5,D05_29
6,D05_27
7,D05_5
8,D05_1
9,D05_13
10,D05_18
11,D05_8
12,D05_4
13,D05_25
14,D05_12
15,D05_23
16,D05_21
17,D05_22
18,D05_31
19,D05_17
20,D05_19
21,D05_28
22,D05_34
23,D05_33
24,D05_20
25,D05_41
26,D05_60
27,D05_26
28,D05_58
29,D05_37
30,D05_30
31,D05_42
32,D05_52
33,D05_54
34,D05_53
35,D05_46
36,D05_32
37,D05_47
38,D05_61
39,D05_48
40,D05_59
41,D05_44
42,D05_70
43,D05_57
44,D05_49
45,D05_38
46,D05_36
47,D05_43
48,D05_51
49,D05_92
50,D05_88
51,D05_71
52,D05_62
53,D05_45
54,D05_64
55,D05_63
56,D05_69
57,D05_100
58,D05_99
59,D05_81
60,D05_84
61,D05_56
62,D05_68
63,D05_109
64,D05_65
65,D05_85
66,D05_83
67,D05_82
68,D05_73
69,D05_80
70,D05_95
71,D05_76
72,D05_104
73,D05_75
74,D05_96
75,D05_102
76,D05_79
77,D05_66
78,D05_78
79,D05_91
80,D05_108
81,D05_67
82,D05_106
83,D05_128
84,D05_115
85,D05_103
86,D05_107
87,D05_120
88,D05_74
89,D05_101
90,D05_86
91,D05_94
92,D05_122
93,D05_89
94,D05_116
95,D05_132
96,D05_110
97,D05_87
98,D05_111
99,D05_135
100,D05_114
101,D05_133
102,D05_117
103,D05_126
104,D05_90
105,D05_113
106,D05_112
107,D05_98
108,D05_140
109,D05_105
110,D05_130
111,D05_118
112,D05_138
113,D05_124
114,D05_125
115,D05_148
116,D05_154
117,D05_121
118,D05_134
119,D05_142
120,D05_129
121,D05_153
122,D05_127
123,D05_147
124,D05_136
125,D05_150
126,D05_143
127,D05_141
128,D05_157
129,D05_145
130,D05_123
131,D05_131
132,D05_159
133,D05_151
134,D05_137
135,D05_146
136,D05_156
137,D05_144
138,D05_139
139,D05_152
140,D05_155
141,D05_158
142,D05_165
143,D05_161
144,D05_149
145,D05_167
146,D05_168
147,C05_0
148,C05_11
149,C05_12
150,C05_9
151,C05_13
152,C05_23
153,C05_19
154,C05_25
155,C05_27
156,C05_30
157,C05_33
158,C05_24
159,C05_28
160,C05_20
161,C05_52
162,C05_32
163,C05_15
164,C05_35
165,C05_29
166,C05_62
167,C05_16
168,C05_26
169,C05_40
170,C05_22
171,C05_46
172,C05_43
173,C05_34
174,C05_51
175,C05_42
176,C05_37
177,C05_48
178,C05_41
179,C05_57
180,C05_54
181,C05_36
182,C05_47
183,C05_70
184,C05_56
185,C05_55
186,C05_76
187,C05_65
188,C05_50
189,C05_60
190,C05_66
191,C05_85
192,C05_67
193,C05_68
194,C05_86
195,C05_93
196,C05_71
197,C05_74
198,C05_80
199,C05_69
200,C05_78
201,C05_77
202,C05_83
203,C05_88
204,C05_89
205,C05_81
206,C05_84
207,C05_91
208,C05_90
209,C05_94
210,C05_92
