cell_id,cell
1,H06_0
2,H06_40
3,H06_47
4,H06_17
5,H06_51
6,H06_20
7,H06_25
8,H06_37
9,H06_23
10,H06_33
11,H06_27
12,H06_14
13,H06_22
14,H06_46
15,H06_34
16,H06_18
17,H06_41
18,H06_43
19,H06_30
20,H06_50
21,H06_29
22,H06_12
23,H06_13
24,H06_42
25,H06_15
26,H06_48
27,H06_58
28,H06_39
29,H06_57
30,H06_11
31,H06_21
32,H06_28
33,H06_49
34,H06_31
35,H06_44
36,H06_52
37,H06_60
38,H06_59
39,H06_26
40,H06_35
41,H06_64
42,H06_72
43,H06_87
44,H06_71
45,H06_65
46,H06_67
47,H06_36
48,H06_54
49,H06_81
50,H06_68
51,H06_85
52,H06_77
53,H06_73
54,H06_79
55,H06_74
56,H06_16
57,H06_96
58,H06_75
59,H06_82
60,H06_32
61,H06_97
62,H06_94
63,H06_98
64,H06_83
65,H06_88
66,H06_78
67,H06_84
68,H06_93
69,H06_100
70,H06_102
71,H06_89
72,H06_106
73,H06_112
74,H06_105
75,H06_117
76,H06_107
77,H06_111
78,H06_121
79,H06_120
80,H06_104
81,H06_124
82,H06_119
83,H06_125
84,H06_137
85,H06_118
86,H06_128
87,H06_142
88,H06_122
89,H06_131
90,H06_135
91,H06_141
92,H06_126
93,H06_132
94,H06_133
95,H06_147
96,H06_143
97,H06_145
98,H06_136
99,I09_0
100,I09_58
101,I09_50
102,I09_45
103,I09_36
104,I09_54
105,I09_29
106,I09_40
107,I09_35
108,I09_30
109,I09_53
110,I09_59
111,I09_12
112,I09_33
113,I09_37
114,I09_18
115,I09_39
116,I09_9
117,I09_51
118,I09_44
119,I09_49
120,I09_41
121,I09_10
122,I09_38
123,I09_22
124,I09_72
125,I09_47
126,I09_20
127,I09_48
128,I09_61
129,I09_57
130,I09_43
131,I09_55
132,I09_4
133,I09_24
134,I09_32
135,I09_62
136,I09_16
137,I09_6
138,I09_46
139,I09_66
140,I09_73
141,I09_65
142,I09_75
143,I09_79
144,I09_85
145,I09_70
146,I09_80
147,I09_78
148,I09_8
149,I09_67
150,I09_82
151,I09_86
152,I09_77
153,I09_104
154,I09_103
155,I09_96
156,I09_90
157,I09_100
158,I09_115
159,I09_102
160,I09_99
161,I09_107
162,I09_98
163,I09_109
164,I09_116
165,I09_110
166,I09_118
167,I09_119
168,I09_113
169,I09_127
170,I09_130
171,I09_117
172,I09_138
173,I09_135
174,I09_128
175,I09_129
176,I09_123
177,I09_136
178,I09_150
179,I09_140
180,I09_146
181,I09_145
182,I09_149
183,I09_157
184,I09_158
185,G09_19
186,G09_25
187,G09_11
188,G09_49
189,G09_18
190,G09_30
191,G09_73
192,G09_54
193,G09_80
194,G09_37
195,G09_17
196,G09_32
197,G09_6
198,G09_0
199,G09_90
200,G09_27
201,G09_14
202,G09_8
203,G09_15
204,G09_46
205,G09_58
206,G09_77
207,G09_88
208,G09_55
209,G09_21
210,G09_2
211,G09_20
212,G09_66
213,G09_67
214,G09_29
215,G09_9
216,G09_42
217,G09_22
218,G09_70
219,G09_81
220,G09_43
221,G09_50
222,G09_53
223,G09_44
224,G09_57
225,G09_52
226,G09_26
227,G09_65
228,G09_59
229,G09_75
230,G09_79
231,G09_101
232,G09_33
233,G09_34
234,G09_74
235,G09_78
236,G09_99
237,G09_40
238,G09_45
239,G09_105
240,G09_89
241,G09_72
242,G09_69
243,G09_68
244,G09_97
245,G09_116
246,G09_110
247,G09_118
248,G09_106
249,G09_93
250,G09_104
251,G09_3
252,G09_123
253,G09_112
254,G09_119
255,G09_98
256,G09_115
257,G09_96
258,G09_86
259,G09_113
260,G09_120
261,G09_125
262,G09_124
263,G09_127
264,G09_122
265,G09_142
266,G09_136
267,G09_114
268,G09_133
269,G09_132
270,G09_161
271,G09_117
272,G09_128
273,G09_135
274,G09_121
275,G09_140
276,G09_139
277,G09_148
278,G09_146
279,G09_141
280,G09_157
281,G09_144
282,G09_165
283,G09_151
284,G09_147
285,G09_149
286,G09_159
287,G09_138
288,G09_158
289,G09_169
290,G09_167
291,G09_131
292,G09_170
293,G09_176
294,G09_171
295,G09_218
296,G09_172
297,G09_189
298,G09_178
299,G09_180
300,G09_154
301,G09_174
302,G09_186
303,G09_202
304,G09_182
305,G09_168
306,G09_173
307,G09_188
308,G09_196
309,G09_208
310,G09_201
311,G09_216
312,G09_215
313,G09_199
314,G09_197
315,G09_198
316,G09_205
317,G09_217
318,G09_207
319,G09_213
320,G09_231
321,G09_225
322,G09_219
323,G09_211
324,G09_210
325,G09_209
326,G09_221
327,G09_241
328,G09_228
329,G09_222
330,G09_212
331,G09_237
332,G09_224
333,G09_232
334,G09_252
335,G09_184
336,G09_240
337,G09_244
338,G09_246
339,G09_235
340,G09_258
341,G09_248
342,G09_256
343,G09_263
344,G09_267
345,G09_257
346,G09_253
347,G08_30
348,G08_35
349,G08_31
350,G08_22
351,G08_19
352,G08_18
353,G08_47
354,G08_17
355,G08_44
356,G08_21
357,G08_24
358,G08_56
359,G08_38
360,G08_48
361,G08_25
362,G08_0
363,G08_16
364,G08_41
365,G08_32
366,G08_33
367,G08_58
368,G08_68
369,G08_59
370,G08_80
371,G08_72
372,G08_63
373,G08_78
374,G08_84
375,G08_85
376,G08_97
377,G08_98
378,G08_91
379,G08_101
380,G08_109
381,G08_106
382,G08_108
383,G08_102
384,G08_103
385,G08_104
386,G08_112
387,G08_114
388,H07_31
389,H07_88
390,H07_0
391,H07_12
392,H07_19
393,H07_66
394,H07_61
395,H07_64
396,H07_56
397,H07_42
398,H07_63
399,H07_13
400,H07_75
401,H07_25
402,H07_16
403,H07_119
404,H07_27
405,H07_89
406,H07_80
407,H07_49
408,H07_5
409,H07_28
410,H07_106
411,H07_29
412,H07_40
413,H07_36
414,H07_9
415,H07_18
416,H07_53
417,H07_98
418,H07_82
419,H07_24
420,H07_48
421,H07_54
422,H07_39
423,H07_76
424,H07_107
425,H07_81
426,H07_14
427,H07_41
428,H07_23
429,H07_74
430,H07_11
431,H07_10
432,H07_67
433,H07_92
434,H07_51
435,H07_69
436,H07_100
437,H07_35
438,H07_85
439,H07_77
440,H07_44
441,H07_97
442,H07_21
443,H07_62
444,H07_72
445,H07_58
446,H07_33
447,H07_104
448,H07_17
449,H07_91
450,H07_95
451,H07_57
452,H07_70
453,H07_32
454,H07_114
455,H07_45
456,H07_6
457,H07_71
458,H07_79
459,H07_115
460,H07_86
461,H07_110
462,H07_116
463,H07_102
464,H07_68
465,H07_120
466,H07_30
467,H07_129
468,H07_140
469,H07_138
470,H07_118
471,H07_125
472,H07_135
473,H07_133
474,H07_87
475,H07_147
476,H07_142
477,H07_143
478,H07_127
479,H07_136
480,H07_154
481,H07_148
482,H07_128
483,H07_149
484,H07_150
485,H07_169
486,H07_145
487,H07_165
488,H07_156
489,H07_159
490,H07_175
491,H07_155
492,H07_172
493,H07_152
494,H07_168
495,H07_163
496,H07_164
497,H07_158
498,H07_171
499,H07_162
500,H07_190
501,H07_170
502,H07_177
503,H07_183
504,H07_191
505,H07_189
506,H07_193
507,H07_197
508,H07_194
509,H07_195
510,H07_208
511,H07_207
512,H07_192
513,H07_205
514,H07_210
515,H07_203
516,H07_213
517,H07_202
518,H07_198
519,H07_200
520,H07_220
521,H07_215
522,H07_217
523,H07_186
524,H07_206
525,H07_231
526,H07_237
527,H07_224
528,H07_221
529,H07_219
530,H07_223
531,H07_228
532,H07_246
533,H07_230
534,H07_248
535,H07_245
536,H07_225
537,H07_238
538,H07_242
539,H07_252
540,H07_251
541,H07_243
542,H05_19
543,H05_21
544,H05_32
545,H05_0
546,H05_31
547,H05_34
548,H05_53
549,H05_58
550,H05_63
551,H05_82
552,H05_87
553,H05_52
554,I06_0
555,I06_6
556,I05_2
557,I05_0
558,I05_16
559,I05_21
560,H09_2
561,H09_21
562,H09_19
563,H09_0
564,H09_36
565,H09_35
566,H09_4
567,H09_22
568,H09_20
569,H09_29
570,H09_65
571,H09_26
572,H09_27
573,H09_23
574,H09_8
575,H09_5
576,H09_13
577,H09_1
578,H09_48
579,H09_14
