cell_id,cell
1,7E6_87
2,7E6_17
3,7E6_21
4,7E6_115
5,7E6_110
6,7E6_57
7,7E6_14
8,7E6_32
9,7E6_38
10,7E6_147
11,7E6_103
12,7E6_104
13,7E6_53
14,7E6_97
15,7E6_72
16,7E6_58
17,7E6_36
18,7E6_76
19,7E6_15
20,7E6_31
21,7E6_23
22,7E6_121
23,7E6_0
24,7E6_75
25,7E6_95
26,7E6_86
27,7E6_27
28,7E6_42
29,7E6_138
30,7E6_20
31,7E6_11
32,7E6_35
33,7E6_142
34,7E6_13
35,7E6_105
36,7E6_56
37,7E6_91
38,7E6_112
39,7E6_24
40,7E6_59
41,7E6_41
42,7E6_30
43,7E6_136
44,7E6_107
45,7E6_84
46,7E6_79
47,7E6_54
48,7E6_120
49,7E6_88
50,7E6_83
51,7E6_137
52,7E6_144
53,7E6_73
54,7E6_50
55,7E6_113
56,7E6_98
57,7E6_99
58,7E6_80
59,7E6_18
60,7E6_71
61,7E6_68
62,7E6_161
63,7E6_46
64,7E6_28
65,7E6_40
66,7E6_33
67,7E6_74
68,7E6_78
69,7E6_8
70,7E6_162
71,7E6_63
72,7E6_90
73,7E6_66
74,7E6_130
75,7E6_9
76,7E6_34
77,7E6_70
78,7E6_89
79,7E6_85
80,7E6_155
81,7E6_101
82,7E6_111
83,7E6_150
84,7E6_135
85,7E6_160
86,7E6_48
87,7E6_64
88,7E6_158
89,7E6_93
90,7E6_163
91,7E6_25
92,7E6_159
93,7E6_165
94,7E6_67
95,7E6_171
96,7E6_51
97,7E6_173
98,7E6_2
99,7E6_149
100,7E6_131
101,7E6_179
102,7E6_168
103,7E6_176
104,7E6_187
105,7E6_185
106,7E6_148
107,7E6_170
108,7E6_177
109,7E6_152
110,7E6_166
111,7E6_192
112,7E6_188
113,7E6_200
114,7E6_164
115,7E6_208
116,7E6_206
117,7E6_193
118,7E6_209
119,7E6_215
120,7E6_195
121,7E6_194
122,7E6_191
123,7E6_218
124,7E6_250
125,7E6_236
126,7E6_216
127,7E6_221
128,7E6_210
129,7E6_228
130,7E6_204
131,7E6_223
132,7E6_211
133,7E6_226
134,7E6_243
135,7E6_207
136,7E6_217
137,7E6_257
138,7E6_253
139,7E6_286
140,7E6_244
141,7E6_202
142,7E6_225
143,7E6_241
144,7E6_238
145,7E6_248
146,7E6_280
147,7E6_249
148,7E6_229
149,7E6_260
150,7E6_288
151,7E6_300
152,7E6_256
153,7E6_245
154,7E6_264
155,7E6_271
156,7E6_265
157,7E6_224
158,7E6_261
159,7E6_281
160,7E6_282
161,7E6_274
162,7E6_318
163,7E6_306
164,7E6_294
165,7E6_279
166,7E6_237
167,7E6_276
168,7E6_266
169,7E6_313
170,7E6_296
171,7E6_311
172,7E6_295
173,7E6_312
174,7E6_263
175,7E6_278
176,7E6_297
177,7E6_314
178,7E6_289
179,7E6_201
180,7E6_39
181,7E6_304
182,7E6_344
183,7E6_320
184,7E6_328
185,7E6_310
186,7E6_309
187,7E6_267
188,7E6_343
189,7E6_305
190,7E6_299
191,7E6_339
192,7E6_332
193,7E6_287
194,7E6_270
195,7E6_348
196,7E6_307
197,7E6_240
198,7E6_331
199,7E6_334
200,7E6_327
201,7E6_330
202,7E6_319
203,7E6_347
204,7E6_259
205,7E6_350
206,3C2_0
207,3C2_5
208,3C2_22
209,3C2_10
210,3C2_17
211,3C2_4
212,3C2_2
213,3C2_1
214,3C2_12
215,3C2_8
216,3C2_13
217,3C2_20
218,3C2_11
219,3C2_23
220,3C2_6
221,3C2_21
222,3C2_24
223,3C2_3
224,3C2_16
225,3C2_18
226,3C2_15
227,3C2_35
228,3C2_25
229,3C2_27
230,3C2_28
231,3C2_29
232,3C2_36
233,3C2_32
234,3C2_33
235,3C2_40
236,3C2_39
237,3C2_38
238,3C2_30
239,3C2_43
240,3C2_51
241,3C2_46
242,3C2_50
243,3C2_45
244,3C2_49
245,3C2_47
246,3C2_48
247,3C2_42
248,3C2_53
249,3C2_55
250,3C2_52
251,3C2_54
252,3C2_62
253,3C2_59
254,3C2_56
255,3C2_58
256,3C2_63
257,3C2_64
258,7C6_0
259,7C6_1
260,7C6_3
261,7C6_24
262,7C6_9
263,7C6_7
264,7C6_5
265,7C6_11
266,7C6_2
267,7C6_15
268,7C6_16
269,7C6_30
270,7C6_14
271,7C6_4
272,7C6_25
273,7C6_10
274,7C6_26
275,7C6_32
276,7C6_29
277,7C6_17
278,7C6_40
279,7C6_27
280,7C6_13
281,7C6_31
282,7C6_28
283,7C6_12
284,7C6_41
285,7C6_37
286,7C6_38
287,7C6_35
288,7C6_39
289,7C6_42
290,7C6_45
291,7C6_50
292,7C6_56
293,7C6_43
294,7C6_46
295,7C6_57
296,7C6_51
297,7C6_62
298,7C6_55
299,7C6_52
300,7C6_53
301,7C6_54
302,7C6_58
303,7C6_65
304,7C6_59
305,7C6_70
306,7C6_63
307,7C6_60
308,7C6_64
309,7C6_66
310,7C6_67
311,7C6_61
312,7C6_73
313,7C6_74
314,7C6_75
315,7C6_83
316,7C6_80
317,7C6_90
318,7C6_78
319,7C6_76
320,7C6_81
321,7C6_89
322,7C6_84
323,7C6_87
324,7C6_88
325,7C6_79
326,7C6_92
327,7C6_101
328,7C6_95
329,7C6_94
330,7C6_99
331,3E2_0
332,3E2_3
333,3E2_17
334,3E2_7
335,3E2_2
336,3E2_6
337,3E2_8
338,3E2_16
339,3E2_14
340,3E2_25
341,3E2_18
342,3E2_1
343,3E2_20
344,3E2_21
345,3E2_24
346,3E2_33
347,3E2_22
348,3E2_31
349,3E2_29
350,3E2_19
351,3E2_23
352,3E2_48
353,3E2_27
354,3E2_36
355,3E2_39
356,3E2_30
357,3E2_35
358,3E2_45
359,3E2_53
360,3E2_37
361,3E2_50
362,3E2_44
363,3E2_49
364,3E2_41
365,3E2_52
366,3E2_67
367,3E2_42
368,3E2_26
369,3E2_54
370,3E2_62
371,3E2_57
372,3E2_93
373,3E2_58
374,3E2_68
375,3E2_46
376,3E2_75
377,3E2_66
378,3E2_63
379,3E2_73
380,3E2_59
381,3E2_56
382,3E2_85
383,3E2_71
384,3E2_64
385,3E2_70
386,3E2_83
387,3E2_97
388,3E2_79
389,3E2_86
390,3E2_92
391,3E2_77
392,3E2_76
393,3E2_89
394,3E2_91
395,3E2_80
396,3E2_78
397,3E2_105
398,3E2_94
399,3E2_90
400,3E2_72
401,3E2_61
402,3E2_101
403,3E2_99
404,3E2_106
405,3E2_98
406,3E2_95
407,3E2_104
408,3E2_113
409,3E2_112
410,3E2_82
411,3E2_117
412,3E2_109
413,3E2_110
414,3E2_123
415,3E2_111
416,3E2_116
417,3E2_130
418,4E3_56
419,4E3_0
420,4E3_6
421,4E3_29
422,4E3_14
423,4E3_48
424,4E3_38
425,4E3_15
426,4E3_45
427,4E3_20
428,4E3_49
429,4E3_68
430,4E3_28
431,4E3_2
432,4E3_35
433,4E3_46
434,4E3_75
435,4E3_37
436,4E3_13
437,4E3_21
438,4E3_47
439,4E3_53
440,4E3_43
441,4E3_30
442,4E3_26
443,4E3_32
444,4E3_58
445,4E3_1
446,4E3_41
447,4E3_9
448,4E3_11
449,4E3_5
450,4E3_40
451,4E3_54
452,4E3_24
453,4E3_73
454,4E3_4
455,4E3_79
456,4E3_55
457,4E3_65
458,4E3_25
459,4E3_31
460,4E3_33
461,4E3_50
462,4E3_62
463,4E3_51
464,4E3_42
465,4E3_60
466,4E3_16
467,4E3_44
468,4E3_71
469,4E3_63
470,4E3_12
471,4E3_74
472,4E3_39
473,4E3_19
474,4E3_52
475,4E3_17
476,4E3_8
477,4E3_64
478,4E3_77
479,4E3_70
480,4E3_76
481,4E3_80
482,4E3_106
483,4E3_59
484,4E3_72
485,4E3_3
486,4E3_67
487,4E3_91
488,4E3_61
489,4E3_86
