point_id,region_id
1,1
2,1
3,1
4,2
5,1
6,1
7,1
8,1
9,1
10,3
11,1
12,3
13,3
14,1
15,1
16,3
17,3
18,1
19,3
20,3
21,1
22,1
23,1
24,1
25,3
26,1
27,1
28,3
29,3
30,1
31,1
32,3
33,3
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,2
52,3
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,2
70,3
71,3
72,2
73,1
74,1
75,1
76,1
77,1
78,2
79,2
80,3
81,1
82,4
83,1
84,1
85,1
86,1
87,3
88,2
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,2
97,1
98,1
99,1
100,1
101,2
102,2
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,3
116,3
117,1
118,1
119,3
120,3
121,1
122,1
123,1
124,1
125,1
126,2
127,1
128,1
129,1
130,1
131,1
132,1
133,3
134,3
135,1
136,1
137,3
138,1
139,1
140,1
141,1
142,1
143,1
144,2
145,3
146,1
147,1
148,1
149,1
150,3
151,2
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,3
162,1
163,1
164,1
165,1
166,1
167,3
168,1
169,1
170,1
171,1
172,1
173,3
174,1
175,3
176,1
177,1
178,1
179,1
180,1
181,1
182,3
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,3
191,1
192,1
193,1
194,3
195,1
196,1
197,2
198,1
199,1
200,1
201,1
202,1
203,1
204,2
205,2
206,2
207,1
208,1
209,3
210,3
211,3
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,3
222,1
223,2
224,1
225,3
226,3
227,1
228,1
229,1
230,2
231,2
232,3
233,3
234,1
235,1
236,1
237,1
238,3
239,2
240,1
241,1
242,2
243,3
244,1
245,1
246,1
247,1
248,2
249,3
250,2
251,2
252,1
253,1
254,1
255,3
256,1
257,1
258,1
259,2
260,2
261,1
262,1
263,1
264,1
265,3
266,1
267,1
268,1
269,1
270,2
271,1
272,1
273,1
274,2
275,1
276,1
277,1
278,1
279,1
280,2
281,2
282,1
283,1
284,1
285,2
286,1
287,1
288,1
289,1
290,1
291,2
292,1
293,3
294,1
295,1
296,2
297,3
298,1
299,2
300,1
301,1
302,3
303,1
304,1
305,3
306,3
307,1
308,1
309,1
310,1
311,2
312,3
313,1
314,4
315,1
316,2
317,2
318,1
319,3
320,3
321,3
322,3
323,1
324,1
325,1
326,3
327,3
328,3
329,3
330,1
331,1
332,2
333,1
334,1
335,1
336,4
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,2
345,2
346,1
347,3
348,1
349,1
350,1
351,1
352,1
353,2
354,2
355,2
356,1
357,3
358,3
359,1
360,1
361,2
362,2
363,2
364,1
365,1
366,1
367,2
368,2
369,2
370,2
371,3
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,2
380,2
381,1
382,2
383,3
384,2
385,3
386,3
387,1
388,2
389,1
390,1
391,1
392,1
393,1
394,2
395,1
396,1
397,1
398,1
399,1
400,1
401,2
402,1
403,1
404,1
405,3
406,3
407,3
408,1
409,3
410,1
411,1
412,1
413,2
414,2
415,2
416,1
417,1
418,1
419,1
420,1
421,1
422,2
423,2
424,2
425,1
426,3
427,1
428,3
429,3
430,1
431,1
432,1
433,2
434,1
435,2
436,1
437,1
438,3
439,3
440,3
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,2
450,2
451,1
452,1
453,3
454,2
455,3
456,1
457,1
458,1
459,1
460,1
461,2
462,2
463,2
464,1
465,1
466,1
467,2
468,1
469,2
470,2
471,2
472,2
473,3
474,3
475,3
476,4
477,1
478,1
479,1
480,2
481,1
482,1
483,2
484,2
485,3
486,1
487,2
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,2
496,2
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,2
505,1
506,3
507,1
508,1
509,3
510,3
511,1
512,1
513,1
514,1
515,2
516,1
517,1
518,1
519,2
520,2
521,2
522,2
523,2
524,2
525,1
526,1
527,1
528,1
529,2
530,3
531,1
532,1
533,1
534,1
535,2
536,1
537,2
538,3
539,3
540,2
541,3
542,1
543,1
544,2
545,1
546,2
547,2
548,2
549,2
550,2
551,1
552,2
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,2
561,2
562,3
563,1
564,1
565,1
566,1
567,1
568,2
569,1
570,2
571,1
572,1
573,1
574,1
575,1
576,1
577,2
578,2
579,3
580,3
581,3
582,1
583,1
584,1
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,2
597,2
598,2
599,3
600,3
601,3
