cell_id,cell
1,7D7_0
2,7D7_1
3,7D7_3
4,7D7_5
5,7D7_4
6,7D7_12
7,7D7_13
8,7D7_11
9,7D7_9
10,7D7_14
11,7D7_19
12,7D7_22
13,7D7_32
14,7D7_24
15,7D7_30
16,7D7_25
17,7D7_27
18,7D7_31
19,7D7_28
20,7D7_34
21,7D7_35
22,1H3_0
23,1H3_34
24,1H3_13
25,1H3_6
26,1H3_20
27,1H3_3
28,1H3_36
29,1H3_19
30,1H3_27
31,1H3_7
32,1H3_8
33,1H3_10
34,1H3_18
35,1H3_21
36,1H3_12
37,1H3_14
38,1H3_16
39,1H3_26
40,1H3_15
41,1H3_11
42,1H3_22
43,1H3_25
44,1H3_1
45,1H3_24
46,1H3_33
47,1H3_28
48,1H3_23
49,1H3_32
50,1H3_55
51,1H3_35
52,1H3_40
53,1H3_31
54,1H3_38
55,1H3_30
56,1H3_39
57,1H3_48
58,1H3_37
59,1H3_43
60,1H3_45
61,1H3_74
62,1H3_72
63,1H3_61
64,1H3_56
65,1H3_52
66,1H3_57
67,1H3_53
68,1H3_42
69,1H3_50
70,1H3_63
71,1H3_68
72,1H3_51
73,1H3_69
74,1H3_62
75,1H3_41
76,1H3_71
77,1H3_47
78,1H3_58
79,1H3_64
80,1H3_46
81,1H3_80
82,1H3_76
83,1H3_70
84,1H3_82
85,1H3_60
86,1H3_98
87,1H3_103
88,1H3_97
89,1H3_49
90,1H3_92
91,1H3_78
92,1H3_90
93,1H3_54
94,1H3_81
95,1H3_73
96,1H3_91
97,1H3_84
98,1H3_94
99,1H3_88
100,1H3_67
101,1H3_75
102,1H3_102
103,1H3_79
104,1H3_86
105,1H3_85
106,1H3_83
107,1H3_77
108,1H3_100
109,1H3_101
110,1H3_96
111,1H3_89
112,1H3_95
113,1H3_105
114,1H3_109
115,1H3_93
116,1H3_112
117,1H3_104
118,1H3_123
119,1H3_108
120,1H3_113
121,1H3_118
122,1H3_116
123,1H3_135
124,1H3_144
125,1H3_121
126,1H3_107
127,1H3_110
128,1H3_147
129,1H3_131
130,1H3_119
131,1H3_128
132,1H3_106
133,1H3_143
134,1H3_111
135,1H3_115
136,1H3_146
137,1H3_114
138,1H3_129
139,1H3_117
140,1H3_122
